Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Allies to the King,Meta,,M,Allies to the King: Foreward,5,,Auto-bestowed,Summoned by Lord Elrond,65,
Allies to the King,Meta,,M,Lhaid Ogo Exploration,-,,During Vol III Book 3 Chapter 4 instance,Explorer of Lhaid Ogo,65,
Allies to the King,Meta,,M,The Vanished Rider,-,,During Vol III Book 6 Chapter 11,Anduin Wanderer,75,
Allies to the King,Meta,,M,Tidings from Galadriel,-,,Start Vol III Book 7,,75,
Allies to the King,Meta,,M,"Volume III Interludes, Part One",-,,Complete Interlude 1-3 from Gleowine's Map,,85,
Allies to the King,Meta,,M,"Volume III Interludes, Part Two",-,,Complete Interlude 4-7 from Gleowine's Map,,85,
Allies to the King,Meta,,M,Volume III Book 11 Foreword,5,,Start Vol III Book 11,,85,
Allies to the King,Meta,,M,Volume III Book 14 Foreword,-,,Complete Vol III Book 13,,95,
Allies to the King,Meta,,M,Allies to the King,5,,Complete Vol III Prologue – Book 14,Friend to the Heir of Isildur,65-95,
Allies to the King,Meta,,M,Epic Battles Await,5,,Auto-bestowed,,10,
Allies to the King,Prologue,,Q,Message from Lorien,,,The Last Homely House – Penthelen,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,Chapter 1: Gallant As Elf-lords,,,The Last Homely House – Penthelen,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,Chapter 2: Candaith's Hidden Cache,,,Thorenhad – Elrohir,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,Chapter 3: Saeradan's Watchfulness,,,Candaith's Encampment – Candaith,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,"Chapter 4: Halros, Ranger of the Shire",,,Saeradan's Cabin – Saeradan,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,-> Halros Should Stay,,,Greenfields – Halros,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,-> Halros Should Go,,,,,,
Allies to the King,Book 1 – Oath of the Rangers,,Q,Chapter 5: Loose Ends in the North Downs,,,Greenfields – Halros,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,Chapter 6: Farewell to Evendim,,,Esteldin Central Courtyard – Daervunn,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,Chapter 7: Lothrandir of the Frozen Wastes,,,Tinnudir – Calenglad,,65,Solo
Allies to the King,Book 1 – Oath of the Rangers,,Q,Chapter 8: The Depths of Duty,,,Suri-kyla – Lothrandir,,65,Solo
