Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
The Black Book of Mordor,Book 1,,Q,Chapter 1: Beyond the Black Gate,,,The Black Gate - Mithrandir,,106,Solo
The Black Book of Mordor,Book 1,,Q,Chapter 2: The Cruel History of Durthang,,,Mornaur - Rhogrin,,106,Solo
The Black Book of Mordor,Book 1,,Q,Chapter 3: Unintentions,,,Durthang - Annoth,,106,Solo
The Black Book of Mordor,Book 1,,Q,"Chapter 4: Ayorzén, Twice-Imprisoned",,,Udun - Annoth,,106,Solo
The Black Book of Mordor,Book 1,,Q,Chapter 5: The Air of That Place,,,Cirith Gorgor - Mithrandir,,107,Solo
The Black Book of Mordor,Book 1,,Q,Chapter 6: Whispers from the Other Side,,,Slag Hills - Mithrandir,,107,Solo
The Black Book of Mordor,Book 2,,Q,Chapter 1: Class dependent quest,,,Slag Hills - Mithrandir,,107,Solo
The Black Book of Mordor,Book 2,,Q,Chapter 2: The Light of Eärendil,,,The Haven of Orladian - Elrond,,108,Solo
The Black Book of Mordor,Book 2,,Q,Chapter 3: Lands of Doom,,,Slag Hills - Mithrandir,,108,Solo
The Black Book of Mordor,Book 2,,Q,Chapter 4: Madness at Barad-Dûr,,,Lhûghash - Corvadil,,108,Solo
The Black Book of Mordor,Book 2,,Q,Chapter 5: Mouth of Gondor,,,Slag Hills - Mithrandir,,109,Solo
The Black Book of Mordor,Book 3,,Q,Chapter 1: The Dread Lands,,,Slag Hills - Aragorn,,112,Solo
The Black Book of Mordor,Book 3,,Q,-> Chapter 2: The Valley of Webs,,,Cirith Gorgor - Atli Spider-bane,,110,Solo
The Black Book of Mordor,Book 3,,Q,-> Chapter 2: The Second Garrison,,,Lhingris - Atli Spider-bane,,110,Solo
The Black Book of Mordor,Book 3,,Q,-> Chapter 3: The Gúrzyul,,,Cirith Gorgor - Harthalin,,112,Solo
The Black Book of Mordor,Book 3,,Q,-> Chapter 3: Fate of the Stonemaiden,,,Talath Urui - Harthalin,,112,Solo
The Black Book of Mordor,Book 3,,Q,Chapter 4: A Change of Heart,,,Cirith Gorgor - Mithrandir,,114,Solo
The Black Book of Mordor,Book 3,,Q,Chapter 5: The Song of Sweet Lara,,,Cirith Gorgor - Mithrandir,,114,Solo
The Black Book of Mordor,Book 3,,Q,Chapter 6: Gothmog appears,,,First Circle of Minas Tirith - Mithrandir,,114,Solo
The Black Book of Mordor,Book 4,,Q,Chapter 1: The Meeting of the Masters,,,Agarnaith - Harthalin,,115,Solo
The Black Book of Mordor,Book 4,,Q,Chapter 2: The Only Place,,,Agarnaith - Harthalin,,115,Solo
The Black Book of Mordor,Book 4,,Q,Chapter 3: Raiment of Disguise,,,Talath Urui - Harthalin,,115,Solo
The Black Book of Mordor,Book 4,,Q,Chapter 4: Union of Evil,,,Cirith Gorgor - Mithrandir - Class Trait Point,,115,Solo
