Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Special,Ballad of Bingo Boffin,,Q,The Call to Adventure,,,Michel Delving - Bingo Boffin,,Solo,8
Special,Ballad of Bingo Boffin,,Q,Training for the Journey,,,Michel Delving - Bingo Boffin,"the Prepared, the Unprepared",Solo,9
Special,Ballad of Bingo Boffin,,Q,Sink or Swim,,,The Golden Perch - Bingo Boffin,"the Bouyant, the Sinking Stone",Solo,10
Special,Ballad of Bingo Boffin,,Q,Disapproving Boggs,,,The Golden Perch - Bingo Boffin,"Happy to Help, the Loner",Solo,11
Special,Ballad of Bingo Boffin,,Q,Leaving is Not Easy,,,Boffin Manor - Bingo Boffin,,Solo,12
Special,Ballad of Bingo Boffin,,Q,A Brood of Boffins,,,Budgeford - Bingo Boffin,Honourary Boffin,Solo,16
Special,Ballad of Bingo Boffin,,Q,Marigold,,,Newbury - Bingo Boffin,,Solo,18
Special,Ballad of Bingo Boffin,,Q,Defying Description,,,Tom Bombadil's House - Bingo Boffin,Conqueror of Writer's Block,Solo,19
Special,Ballad of Bingo Boffin,,Q,Synonyms for Spooky,,,Tom Bombadil's House - Bingo Boffin,Page-hunter,Solo,22
Special,Ballad of Bingo Boffin,,Q,The Two Taverns,,,Newbury - Bingo Boffin,Tavern-goer,Solo,24
Special,Ballad of Bingo Boffin,,Q,The Last Treasure,,,The Forsaken Inn - Bingo Boffin,,Solo,26
Special,Ballad of Bingo Boffin,,Q,Goose and Gander,,,The Forsaken Inn - Bingo Boffin,Linguist,Solo,28
Special,Ballad of Bingo Boffin,,Q,The End Now?,,,The Forsaken Inn - Bingo Boffin,,Solo,32
Special,Ballad of Bingo Boffin,,Q,A Restful Night,,,Ost Guruth - Bingo Boffin,"the Rested, the Tired",Solo,32
Special,Ballad of Bingo Boffin,,Q,A New Friend,,,South Trollshaws - Bingo Boffin,,Solo,35
Special,Ballad of Bingo Boffin,,Q,A Hospitable Home,,,The Gates of Imladris - Bingo Boffin,,Solo,39
Special,Ballad of Bingo Boffin,,Q,Notes by the Author,,,Hall of Fire - Bingo Boffin,"Constructive Critic, the Open-minded",Solo,40
Special,Ballad of Bingo Boffin,,Q,A Snowy Climb,,,Hall of Fire - Bingo Boffin,,Solo,42
Special,Ballad of Bingo Boffin,,Q,A Dangerous Detour,,,Bruinen Source West - Bingo Boffin,,Solo,43
Special,Ballad of Bingo Boffin,,Q,A Daring Plan,,,Gloin's Camp - Gloin,,Solo,45
Special,Ballad of Bingo Boffin,,Q,An Author Absent,,,High Crag - Spalvi Dourhand,,Solo,47
Special,Ballad of Bingo Boffin,,Q,A New Hunt,,,Gloin's Camp - Spalvi Dourhand,the Persistent,Solo,48
Special,Ballad of Bingo Boffin,,Q,Dour Faces,,,Gwingris - Spalvi Dourhand,"Seeker of Treasure, Giver of Treasure",Solo,49
Special,Ballad of Bingo Boffin,,Q,A Change of Name,,,Gwingris - Spalvi Dourhand,"Name-giver, Name-taker",Solo,50
Special,Ballad of Bingo Boffin,,Q,Into the Long Dark,,,Gwingris - Spalvi Stoutheart,,Solo,51
Special,Ballad of Bingo Boffin,,Q,Willem Takes the Lead,,,Dolven-view - Spalvi Stoutheart,,Solo,53
Special,Ballad of Bingo Boffin,,Q,Bingo's Scattered Thoughts,,,The Fanged Pit camp - Spalvi Stoutheart,"Seeker of Memories, Keeper of Memories",Solo,56
Special,Ballad of Bingo Boffin,,Q,A Farewell,,,Twenty-first Hall - Bingo Boffin,"Craving Sunlight, Embracing the Dark",Solo,58
Special,Ballad of Bingo Boffin,,Q,A Chapter About Elves,,,Nanduhirion - Bingo Boffin,,Solo,60
Special,Ballad of Bingo Boffin,,Q,A Taste of War,,,Caras Galadhon - Bingo Boffin,,Solo,63
Special,Ballad of Bingo Boffin,,Q,"First, Breakfast!",,,The Haunted Inn - Bingo Boffin,Hungry for Adventure,Solo,66
Special,Ballad of Bingo Boffin,,Q,Second Breakfast,,,The Haunted Inn - Bingo Boffin,,Solo,68
Special,Ballad of Bingo Boffin,,Q,The Banks of the Great River,,,Caras Galadhon - Bingo Boffin,,Solo,70
Special,Ballad of Bingo Boffin,,Q,Unusual Friends,,,Haldirith - Bingo Boffin,,Solo,72
Special,Ballad of Bingo Boffin,,Q,Enter the Easterlings,,,Stangard - Bingo Boffin,,Solo,75
Special,Ballad of Bingo Boffin,,Q,Bingo's Burden,,,Stangard - Bingo Boffin,,Solo,78
Special,Ballad of Bingo Boffin,,Q,Yea or Neigh?,,,Harwick - Bingo Boffin,,Solo,80
Special,Ballad of Bingo Boffin,,Q,The Tracker,,,Harwick - Bingo Boffin,,Solo,82
Special,Ballad of Bingo Boffin,,Q,A Cold Trail,,,Cliving - Bingo Boffin,,Solo,85
Special,Ballad of Bingo Boffin,,Q,Bert has a Word,,,Forlaw - Bingo Boffin,Bartleby Befriender,Solo,88
Special,Ballad of Bingo Boffin,,Q,Mistaken Identity,,,Forlaw - Bingo Boffin,,Solo,90
Special,Ballad of Bingo Boffin,,Q,A Horse in a Haystack,,,Woodhurst - Egwylf,,Solo,92
Special,Ballad of Bingo Boffin,,Q,Thoughts of Home,,,Gapholt - Bingo Boffin,,Solo,93
Special,Ballad of Bingo Boffin,,Q,Willem Whisker and the Wide World,,,Grimslade - Bingo Boffin,,Solo,93
Special,Ballad of Bingo Boffin,,Q,A String of Ill Fortune,,,Avardin - Bingo Boffin,,Solo,93
Special,Ballad of Bingo Boffin,,Q,"Treasure Lost, Treasure Found",,,Avardin - Bingo Boffin,Danger-defier,Solo,93
Special,Ballad of Bingo Boffin,,Q,"Full Course, Of Course!",,,Lhanuch - Bingo Boffin,,Solo,93
Special,Ballad of Bingo Boffin,,Q,Homesick or Just Sick,,,Maur Tulhau - Bingo Boffin,,Solo,93
Special,Ballad of Bingo Boffin,,Q,Through the Blockade,,,Maur Tulhau - Bingo Boffin,,Solo,93
Special,Ballad of Bingo Boffin,,Q,Bingo Returns Home,,,Andrath - Bingo Boffin,Bingo's Loyal Friend,Solo,93
Special,Ballad of Bingo Boffin,,Q,"Hand-written, Hand-delivered",,,Boffin Manor - Bingo Boffin,,Solo,93
Special,Ballad of Bingo Boffin,,Q,The Perfect Recipe,,,Boffin Manor - Bingo Boffin,Party-goer,Solo,93
