Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Class,Beorning,,C,Class Deeds – Tier 1,-,,"Complete Get Your Bearings, Quick Slash, and Full Force - 1 Class Trait Point",,5,
Class,Beorning,,C,Get Your Bearings,5,,Use Skin-change (100) – 10/day,,5,
Class,Beorning,,C,Quick Slash,5,,Hit with Slash (300) – 30/day,,5,
Class,Beorning,,C,Full Force,5,,Hit with Slam (300) – 30/day,,5,
Class,Beorning,,C,Class Deeds – Tier 2,-,,"Complete A Buidling Rage, Hearten!, and Hearth and Home - 1 Class Trait Point",,10,
Class,Beorning,,C,A Building Rage,5,,Hit with Thrash - Tier 3 (100) – 10/day,,10,
Class,Beorning,,C,Hearten!,5,,Use Hearten (300) – 30/day,,10,
Class,Beorning,,C,Hearth and Home,5,,Bake Honey-cakes (100) - Racial skill equip requirement – 10/day,,15,
Class,Beorning,,C,Class Deeds – Tier 3,-,,"Complete The Speech of Animals, Rattling Roar, and Master the Basics - 1 Class Trait Point",,15,
Class,Beorning,,C,The Speech of Animals,-,,See Beorning Quests - 1 Class Trait Point,,15,
Class,Beorning,,C,Rattling Roar,5,,Use Ferocious Roar (150) – 15/day,,16,
Class,Beorning,,C,Master the Basics,5,,Hit with Slash (500) – 50/day,,10,
Class,Beorning,,C,Class Deeds – Tier 4,-,,"Complete Beorn's Gift, Unexpectedly Agile, and Weight on Their Shoulders - 1 Class Trait Point",,20,
Class,Beorning,,C,Beorn's Gift,5,,Use Skin-change (500) – 50/day,,20,
Class,Beorning,,C,Unexpectedly Agile,5,,Parry or Evade enemy attacks (300) – 30/day,,20,
Class,Beorning,,C,Weight on Thier Shoulders,5,,Hit with Slam (500) – 50/day,,20,
Class,Beorning,,C,Class Deeds – Tier 5,-,,"Complete Hatred of Bear and Man, A Thousand Stingers, and Overbearing Presence - 1 Class Trait Point",,30,
Class,Beorning,,C,Hatred of Bear and Man,-,,See Beorning Quests - 1 Class Trait Point,,30,
Class,Beorning,,C,A Thousand Stingers,5,,Hit with Bee Swarm (300) – 30/day,,30,
Class,Beorning,,C,Overbearing Presence,5,,Use Feral Presence (50) - Racial skill equip requirement – 5/day,,30,
Class,Beorning,,C,Class Deeds – Tier 6,-,,"Complete Overwhelming Strength, To Battle!, and Stand Firm - 1 Class Trait Point",,40,
Class,Beorning,,C,Overwhelming Strength,5,,Hit with Relentless Maul (150) – 15/day,,30,
Class,Beorning,,C,To Battle!,5,,Use Rush (250) – 25/day,,36,
Class,Beorning,,C,Stand Firm,5,,Use Bracing Roar (50) - Racial skill equip requirement – 5/day,,40,
Class,Beorning,,C,Class Deeds – Tier 7,-,,"Complete Not the Bees!, Impervious, and Natural Beorn Leadership - 1 Class Trait Point",,40,
Class,Beorning,,C,Not the Bees!,5,,Hit with Bee Swarm (500) – 50/day,,44,
Class,Beorning,,C,Impervious,5,,Parry of Evade enemy attacks (500) – 50/day,,40,
Class,Beorning,,C,Natural Beorn Leadership,5,,Use Hearten (500) – 50/day,,40,
Class,Beorning,,C,Class Deeds – Tier 8,-,,"Complete The Path Homeward, Bear in Mind and Spirit, and Beorn's Might - 1 Class Trait Point",,50,
Class,Beorning,,C,The Path Homeward,-,,See Beorning Quests - 1 Class Trait Point,,58,
Class,Beorning,,C,Bear in Mind and Spirit,5,,Use Skin-change (500) – 50/day,,50,
Class,Beorning,,C,Beorn's Might,5,,"Use Thickened Hide, Call to Wild, or Nature's Bond (150) – 15/day",,50,
Class,Beorning,,C,A Hobbit's Holiday,10,,Purchase from class trainer: Find pages of the book - 1 Class Trait Point,,39,
Class,Beorning,,C,A Study of the Skin Changer,10,,Purchase from class trainer: Find pages of the book - 1 Class Trait Point,,39,
