Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Instances Erebor,Iorbar's Peak,,M,Champion of Iorbar's Peak,-,-,Complete 3 deeds in Iorbar's Peak,,,
Instances Erebor,Iorbar's Peak,,S,The Stone Giant's Demise,-,-,Complete quest: Iorbar's Peak - Tier 1,,,
Instances Erebor,Iorbar's Peak,,S,Helf's Downfall,-,-,Complete quest: Iorbar's Peak - Tier 2,,,
Instances Erebor,Iorbar's Peak,,S,Saviour of the Eagle Egg,-,-,Find the stolen eagle egg and rescue it. It must not be damaged.,,,
Instances Erebor,Iorbar's Peak,,Q,Challenge: Iorbar's Peak,,,Auto bestowed – Tier 2,,Cap,Small Fellow
Instances Erebor,Iorbar's Peak,,Q,Iorbar's Reak - Tier 1,,,Auto bestowed – Tier 1,,20^,Small Fellow
Instances Erebor,Iorbar's Peak,,Q,Iorbar's Reak - Tier 2,,,Auto bestowed – Tier 2,,20^,Small Fellow
Instances Erebor,Webs of the Scuttledells,,M,Defender of Thrandur's Halls,-,-,Complete 3 deeds and 'Spiders and Flies' in Webs of the Scuttledells,,,
Instances Erebor,Webs of the Scuttledells,,S,Webs of the Scuttledells – Tier 1,-,-,Complete quest – Webs of the Scuttledells – Tier 1,,,
Instances Erebor,Webs of the Scuttledells,,S,Webs of the Scuttledells – Tier 2,-,-,Complete quest – Webs of the Scuttledells – Tier 2,,,
Instances Erebor,Webs of the Scuttledells,,S,Challenge,-,-,Burn all webs and cocoons before defeating Digelir,,,
Instances Erebor,Webs of the Scuttledells,,Q,Challenge: Webs of the Scuttledells,,,Auto bestowed – Tier 2,,Cap,Small Fellow
Instances Erebor,Webs of the Scuttledells,,Q,Webs of the Scuttledells – Tier 1,,,Auto bestowed – Tier 1,,20^,Small Fellow
Instances Erebor,Webs of the Scuttledells,,Q,Webs of the Scuttledells – Tier 2,,,Auto bestowed – Tier 2,,20^,Small Fellow
Instances Erebor,Webs of the Scuttledells,,Q,Spiders and Flies,,,Auto bestowed – Rescue the captured elves from the cocoons,,20^,Small Fellow
Instances Erebor,Seat of the Great Goblin,,M,Usurper of the Great Goblin's Throne,-,-,Complete 4 deeds in Seat of the Great Goblin,,,
Instances Erebor,Seat of the Great Goblin,,S,Seat of the Great Goblin – Tier 1,-,-,Complete quest – Seat of the Great Goblin – Tier 1,,,
Instances Erebor,Seat of the Great Goblin,,S,Seat of the Great Goblin – Tier 2,-,-,Complete quest – Seat of the Great Goblin – Tier 2,,,
Instances Erebor,Seat of the Great Goblin,,S,Challenge,-,-,Defeat the Great Goblin in under 4 minutes,,,
Instances Erebor,Seat of the Great Goblin,,L,The Tale of Goblin-town,-,-,Discover 5 Goblin-murals within Seat of the Great Goblin,,,
Instances Erebor,Seat of the Great Goblin,,Q,Challenge: Seat of the Great Goblin,,,Auto bestowed – Tier 2,,Cap,Small Fellow
Instances Erebor,Seat of the Great Goblin,,Q,Seat of the Great Goblin – Tier 1,,,Auto bestowed – Tier 1,,20^,Small Fellow
