Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Gondor,Western Gondor,Dol Amroth,M,Deeds of West Gondor,-,-,Complete 3 meta deeds in West Gondor,,,
Gondor,Western Gondor,Dol Amroth,M,Quests of West Gondor,-,-,Complete 5 quest deeds in West Gondor,,,
Gondor,Western Gondor,Dol Amroth,M,Explorer of West Gondor,-,-,Complete 5 explorer deeds in West Gondor,,,
Gondor,Western Gondor,Dol Amroth,M,Slayer of West Gondor,-,-,Complete 5 slayer deeds in West Gondor,,,
Gondor,Western Gondor,Dol Amroth,M,Dol Amroth – Buildings,-,-,Gain reputation with the various factions of Dol Amroth,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Armoury,-,-,Gain Acquaintance standing and complete 10 quests,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Bank,-,-,Gain Acquaintance standing and complete 10 quests,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Docks,-,-,Gain Acquaintance standing and complete 10 quests,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Great Hall,-,-,Gain Acquaintance standing and complete 10 quests,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Library,-,-,Gain Acquaintance standing and complete 10 quests,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Mason,-,-,Gain Acquaintance standing and complete 14 quests,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Swan Knights Barracks,-,-,Gain Acquaintance standing and complete 14 quests,,,
Gondor,Western Gondor,Dol Amroth,F,Dol Amroth – City Watch – Warehouse,-,-,Gain Acquaintance standing and complete 10 quests,,,
Gondor,Western Gondor,Dol Amroth,E,Beacons of West Gondor,5,Idealism,Find 5 beacons in West Gondor,Explorer of West Gondor,,
Gondor,Western Gondor,Dol Amroth,E,Paths of the Dead,5,Innocence,Find 4 points of interest in Paths of the Dead,Paths of the Dead Walker,,
Gondor,Western Gondor,Dol Amroth,E,Prosperity of West Gondor,5,Confidence,Find 7 points of interest in West Gondor,Wanderer of West Gondor,,
Gondor,Western Gondor,Dol Amroth,E,Gondorian Treasure Cache,10,Determination,Find 18 lost treasures throughout West Gondor,Treasure Hunter of West Gondor,,
Gondor,Western Gondor,Dol Amroth,E,West Gondor: Camps of the Enemies,5,Loyalty,Find 6 enemy camps in West Gondor,Scout of West Gondor,,
Gondor,Western Gondor,Dol Amroth,L,Quests of Belfalas,5,Zeal,Complete quests within Belfalas (35),Hero of Belfalas,,
Gondor,Western Gondor,Dol Amroth,L,Quests of Blackroot Vale,5,Honesty,Complete quests within Blackroot Vale (35),Hero of Blackroot Vale,,
Gondor,Western Gondor,Dol Amroth,L,Quests of Lamedon,5,Empathy,Complete quests within Lamedon (30),Hero of Lamedon,,
Gondor,Western Gondor,Dol Amroth,L,Quests of Tarlang's Crown,5,Fidelity,Complete quests within Tarlang's Crown (25),Hero of Tarlang's Crown,,
Gondor,Western Gondor,Dol Amroth,L,Vanguard of Western Gondor,10,-,Complete quest – First of the Heirs,Enemy of the Heirs,,
Gondor,Western Gondor,Dol Amroth,L,West Gondor's Roaming Enemies,5,Patience,Complete 7 Warband quests,Roaming Protector of West Gondor,,
Gondor,Western Gondor,Dol Amroth,L,Western Gondor's Roving Enemies,5,Justice,Complete 5 Roving Threat quests,Roving Defender of Western Gondor,,
Gondor,Western Gondor,Dol Amroth,S,Bandit-slayer of West Gondor,5,-,Defeat Bandits in West Gondor (100),,,
Gondor,Western Gondor,Dol Amroth,S,Bandit-slayer of West Gondor (advanced),5,Justice,Defeat Bandits in West Gondor (200),Bandit-slayer of West Gondor,,
Gondor,Western Gondor,Dol Amroth,S,Beast-slayer of West Gondor,5,-,Defeat Beasts in West Gondor (100),,,
Gondor,Western Gondor,Dol Amroth,S,Beast-slayer of West Gondor (advanced),5,Discipline,Defeat Beasts in West Gondor (200),Beast-slayer of West Gondor,,
Gondor,Western Gondor,Dol Amroth,S,Corsair-slayer of West Gondor,5,-,Defeat Corsair in West Gondor (120),,,
Gondor,Western Gondor,Dol Amroth,S,Corsair-slayer of West Gondor (advanced),5,Valour,Defeat Corsair in West Gondor (240),Corsair-slayer of West Gondor,,
Gondor,Western Gondor,Dol Amroth,S,Oath-breaker Slayer of West Gondor,5,-,Defeat Oath-breakers in West Gondor (100),,,
Gondor,Western Gondor,Dol Amroth,S,Oath-breaker Slayer of West Gondor (advanced),5,Compassion,Defeat Oath-breakers in West Gondor (200),Oath-breaker Slayer of West Gondor,,
