Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Lothlorien Instances,The Mirror-halls of Lumul-nar,,M,Light of Lumul-nar [Hidden],10,-,Complete 3 deeds in Mirror Halls of Lumul-nar,Defender of the Hidden Dawn,,
Lothlorien Instances,The Mirror-halls of Lumul-nar,,L,The Crystal Mirror-shards,10,-,Find 5 mirror-shards in The Mirror Halls of Lumul-nar,Bringer of Light,,
Lothlorien Instances,The Mirror-halls of Lumul-nar,,S,An Evil Reflection,5,-,Defeat 2 leaders in Mirror Halls of Lumul-nar,Slayer of Shadows,,
Lothlorien Instances,The Mirror-halls of Lumul-nar,,S,Lumul-nar Morroval Slayer,5,-,Defeat Merrevail in Lumul-nar (80),the Silencer,,
Lothlorien Instances,The Mirror-halls of Lumul-nar,,S,Lumul-nar Morroval Slayer (advanced),10,-,Defeat Merrevail in Lumul-nar (160),,,
Lothlorien Instances,The Water-wheels of Nala-dum,,M,Scourge of Nala-dum [Hidden],10,-,Complete 3 deeds in Water-wheels of Nala-dum,Engineer of Nala-dum,,
Lothlorien Instances,The Water-wheels of Nala-dum,,L,Plants of the Water-works,10,-,Find 5 plants in Water-wheels of Nala-dum,Gardener of the Deep,,
Lothlorien Instances,The Water-wheels of Nala-dum,,S,Enemies in Nala-dum,5,-,Defeat 2 leaders in Water-wheels of Nala-dum,Banisher of Darkness,,
Lothlorien Instances,The Water-wheels of Nala-dum,,S,Nala-dum Lizard-slayer,5,-,Defeat Lizards in Nala-dum (80),Cold-blooded,,
Lothlorien Instances,The Water-wheels of Nala-dum,,S,Nala-dum Lizard-slayer (advanced),10,-,Defeat Lizards in Nala-dum (160),,,
Lothlorien Instances,The Halls of Crafting,,M,Liberator of the Halls of Crafting [Hidden],10,-,Complete 4 deeds in The Halls of Crafting,Master of the Anvil,,
Lothlorien Instances,The Halls of Crafting,,L,Halls of Crafting Crate Investigation,10,-,Find 5 supply-box in The Halls of Crafting,the Crate-collector,,
Lothlorien Instances,The Halls of Crafting,,S,Chieftains of the Halls of Crafting,5,-,Defeat 3 leaders in The Halls of Crafting,Foe-bane,,
Lothlorien Instances,The Halls of Crafting,,S,Halls of Crafting Melee Orc-slayer,5,-,Defeat Melee Orcs in The Halls of Crafting (30),Rage of the Stonecarver,,
Lothlorien Instances,The Halls of Crafting,,S,Halls of Crafting Melee Orc-slayer (advanced),10,-,Defeat Melee Orcs in The Halls of Crafting (120),,,
Lothlorien Instances,The Halls of Crafting,,S,Halls of Crafting Ranged Orc-slayer,5,-,Defeat Ranged Orcs in The Halls of Crafting (20),Arrow-breaker,,
Lothlorien Instances,The Halls of Crafting,,S,Halls of Crafting Ranged Orc-slayer (advanced),10,-,Defeat Ranged Orcs in The Halls of Crafting (40),,,
Lothlorien Instances,Dar Narbugud,,M,Reaver of Dar Narbugud,10,-,Complete 5 deeds in Dar Narbugud,Redeemer of the Deep,,
Lothlorien Instances,Dar Narbugud,,L,Dar Narbugud Fungus Investigation,10,-,Collect 5 mushrooms in Dar Narbugud,Seeker of Toadstools,,
Lothlorien Instances,Dar Narbugud,,S,Dar Narbugud Nameless-slayer,5,-,Defeat Nameless in Dar Narbugud (50),Cleanser of the Nameless,,
Lothlorien Instances,Dar Narbugud,,S,Dar Narbugud Nameless-slayer (advanced),10,-,Defeat Nameless in Dar Narbugud (150),,,
Lothlorien Instances,Dar Narbugud,,S,Dar Narbugud Orc-slayer,5,-,Defeat Orcs in Dar Narbugud (60),the Eradicator,,
Lothlorien Instances,Dar Narbugud,,S,Dar Narbugud Orc-slayer (advanced),10,-,Defeat Orcs in Dar Narbugud (180),,,
Lothlorien Instances,Dar Narbugud,,S,Dar Narbugud Troll-slayer,5,-,Defeat Trolls in Dar Narbugud (10),Troll-tipper,,
Lothlorien Instances,Dar Narbugud,,S,Dar Narbugud Troll-slayer (advanced),10,-,Defeat 50 Trolls in Dar Narbugud (20),,,
Lothlorien Instances,Dar Narbugud,,S,Heirarchy of the Nameless,5,-,Defeat 7 leaders in Dar Narbugud,Suppressor of Pestilence,,
Lothlorien Instances,Meta Deeds and Summary,,M,Saviour of Lothlorien,10,-,Complete 4 meta deeds in the Lothlorien instance cluster,Saviour of Lothlorien,,
