Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Mordor,Udun,Conquest of Gorgoroth,M,Deeds of Udun,15,-,Complete 2 meta deeds and 1 deed within Udun,,,
Mordor,Udun,Conquest of Gorgoroth,M,Explorer of Udun,10,-,Complete 5 explorer deeds in Udun,,,
Mordor,Udun,Conquest of Gorgoroth,M,Slayer of Udun,10,-,Complete 3 slayer deeds in Udun,,,
Mordor,Udun,Conquest of Gorgoroth,E,Forge-fires of Udun,-,-,Find 15 Forge Furnaces within Udun,Hand to the Flame,,
Mordor,Udun,Conquest of Gorgoroth,E,Forgeworks of Udun,-,-,Find 16 Great Forgeworks within Udun,Gear-hunter,,
Mordor,Udun,Conquest of Gorgoroth,E,The Way Into Mordor,-,-,Find 15 points of interest within Udun,Footman of Mordor,,
Mordor,Udun,Conquest of Gorgoroth,E,Treasure of Udun,-,-,Find 12 Ancient Treasure within Udun,Treasure Seeker of Udun,,
Mordor,Udun,Conquest of Gorgoroth,E,Rare Gorgoroth Chests of Udun,-,-,Find 5 Rare Gorgoroth Chests within Udun,,,
Mordor,Udun,Conquest of Gorgoroth,L,Quests of Udun,5,-,Complete quests within Udun (30),Warrior of the Dark Pit,,
Mordor,Udun,Conquest of Gorgoroth,L,Udun: Continued Efforts,-,-,Complete 10 daily quests within Udun,,,
Mordor,Udun,Conquest of Gorgoroth,L,Foothold in Udun,-,-,Complete 20 daily quests within Udun,,,
Mordor,Udun,Conquest of Gorgoroth,L,Foothold in Udun (intermediate),5,-,Complete 40 daily quests within Udun,,,
Mordor,Udun,Conquest of Gorgoroth,L,Foothold in Udun (advanced),5,-,Complete 90 daily quests within Udun,,,
Mordor,Udun,Conquest of Gorgoroth,S,Beast-slayer of Udun,-,-,Defeat scavening beasts within Udun (100),,,
Mordor,Udun,Conquest of Gorgoroth,S,Beast-slayer of Udun (advanced),5,-,Defeat scavening beasts within Udun (200),,,
Mordor,Udun,Conquest of Gorgoroth,S,Forgeworker-slayer of Udun,-,-,Defeat Forgeworkers within Udun (80),,,
Mordor,Udun,Conquest of Gorgoroth,S,Forgeworker-slayer of Udun (advanced),5,-,Defeat Forgeworkers within Udun (160),,,
Mordor,Udun,Conquest of Gorgoroth,S,Soldier-slayer of Udun,-,-,Defeat soldiers of Sauron within Udun (80),,,
Mordor,Udun,Conquest of Gorgoroth,S,Soldier-slayer of Udun (advanced),5,-,Defeat soldiers of Sauron within Udun (160),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,M,Deeds of Dor Amarth,15,-,Complete 2 meta deeds and 1 deed within Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,M,Explorer of Dor Amarth,10,Zeal,Complete 4 explorer deeds in Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,M,Slayer of Dor Amarth,10,Discipline,Complete 4 slayer deeds in Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,E,Places of Darkness,-,-,Find the 4 darkest corners of Dor Amarth,A Light in the Darkness,,
Mordor,Dor Amarth,Conquest of Gorgoroth,E,The Last Reserves,-,-,Find 3 roadside water reserves within Dor Amarth,Oasis Seeker,,
Mordor,Dor Amarth,Conquest of Gorgoroth,E,Treasure of Dor Amarth,-,-,Find 12 Ancient Treasure within Dor Amarth,Treasure Seeker of Dor Amarth,,
Mordor,Dor Amarth,Conquest of Gorgoroth,E,Rare Gorgoroth Chests of Dor Amarth,-,-,Find 5 Rare Gorgoroth Chests within Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,L,Quests of Dor Amarth,5,-,Complete quests within Dor Amarth (40),Warrior of the Doomfold,,
Mordor,Dor Amarth,Conquest of Gorgoroth,L,Dor Amarth: Continued Efforts,-,-,Complete 10 daily quests within Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,L,Foothold in Dor Amarth,-,-,Complete 20 daily quests within Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,L,Foothold in Dor Amarth (intermediate),5,-,Complete 40 daily quests within Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,L,Foothold in Dor Amarth (advanced),5,-,Complete 90 daily quests within Dor Amarth,,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Beast-slayer of Dor Amarth,-,-,Defeat scavening beasts within Dor Amarth (100),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Beast-slayer of Dor Amarth (advanced),5,-,Defeat scavening beasts within Dor Amarth (200),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Black Numenorean-slayer of Dor Amarth,-,-,Defeat Black Numenorean within Dor Amarth (100),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Black Numenorean-slayer of Dor Amarth (advanced),5,-,Defeat Black Numenorean within Dor Amarth (200),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Evil Dwarf-slayer of Dor Amarth,-,-,Defeat Evil Dwarves within Dor Amarth (100),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Evil Dwarf-slayer of Dor Amarth (advanced),5,-,Defeat Evil Dwarves within Dor Amarth (200),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Orc and Uruk-slayer of Dor Amarth,-,-,Defeat Orc or Uruk-hai within Dor Amarth (100),,,
Mordor,Dor Amarth,Conquest of Gorgoroth,S,Orc and Uruk-slayer of Dor Amarth (advanced),5,-,Defeat Orc or Uruk-hai within Dor Amarth (200),,,
Mordor,Lhingris,Conquest of Gorgoroth,M,Deeds of Lhingris,15,-,Complete 2 meta deeds and 1 deed within Lhingris,,,
