Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Instances Osgiliath,Sunken Labyrinth,,M,Light Beneath Osgiliath,-,-,Complete 4 deeds in Sunken Labyrinth,Labyrinthian Slugger,,
Instances Osgiliath,Sunken Labyrinth,,S,Sunken Labyrinth - Tier 1,-,-,Complete quest: Sunken Labyrinth - Tier 1,,,
Instances Osgiliath,Sunken Labyrinth,,S,Sunken Labyrinth - Tier 2,-,-,Complete quest: Sunken Labyrinth - Tier 2,,,
Instances Osgiliath,Sunken Labyrinth,,L,Challenge: Subterranean Slugfest,-,-,Defeat 30 slugs in under 30 minutes,,,
Instances Osgiliath,Sunken Labyrinth,,L,Memories of the Second Age,-,-,Find 7 Gondorian Relics of the Second Age,,,
Instances Osgiliath,Sunken Labyrinth,,Q,Challenge: Subterranean Slugfest,Cap,Small Fellow,Auto-bestowed - Tier 2,,Cap,Small Fellow
Instances Osgiliath,Sunken Labyrinth,,Q,Sunken Labyrinth - Tier 1,50^,Small Fellow,Auto-bestowed - Tier 1,,50^,Small Fellow
Instances Osgiliath,Sunken Labyrinth,,Q,Sunken Labyrinth - Tier 2,50^,Small Fellow,Auto-bestowed - Tier 2,,50^,Small Fellow
Instances Osgiliath,The Ruined City,,M,Hope Among the Ruins,-,-,Complete 3 deeds in The Ruined City,Unmasker of Mysteries,,
Instances Osgiliath,The Ruined City,,S,The Ruined City - Tier 1,-,-,Complete quest: The Ruined City - Tier 1,,,
Instances Osgiliath,The Ruined City,,S,The Ruined City - Tier 2,-,-,Complete quest: The Ruined City - Tier 2,,,
Instances Osgiliath,The Ruined City,,S,Challenge: Harrowing Ordeal,-,-,Defeat no Harrowing Fell-spirits in Palace of Eldacar,,,
Instances Osgiliath,The Ruined City,,Q,Challenge: Harrowing Ordeal,Cap,Small Fellow,Auto-bestowed - Tier 2,,Cap,Small Fellow
Instances Osgiliath,The Ruined City,,Q,The Ruined City - Tier 1,50^,Small Fellow,Auto-bestowed - Tier 1,,50^,Small Fellow
Instances Osgiliath,The Ruined City,,Q,The Ruined City - Tier 2,50^,Small Fellow,Auto-bestowed - Tier 2,,50^,Small Fellow
Instances Osgiliath,The Dome of the Stars,,M,Breaker of the Black Blade,-,-,Complete 3 deeds in Dome of the Stars and 1 quest,Breaker of the Black Blade,,
Instances Osgiliath,The Dome of the Stars,,S,The Dome of the Stars - Tier 1,-,-,Complete quest: The Dome of the Stars - Tier 1,,,
Instances Osgiliath,The Dome of the Stars,,S,The Dome of the Stars - Tier 2,-,-,Complete quest: The Dome of the Stars - Tier 2,,,
Instances Osgiliath,The Dome of the Stars,,S,Challenge: Painful Memories,-,-,Defeat the Black Blade while 1 Dol Guldur spirit remains,,,
Instances Osgiliath,The Dome of the Stars,,S,The Lord of Pinions,,,Complete quest: The Lord of Pinions,,,
Instances Osgiliath,The Dome of the Stars,,Q,Challenge: Painful Memories,Cap,Fellow,Auto-bestowed - Tier 2,,Cap,Fellow
Instances Osgiliath,The Dome of the Stars,,Q,The Dome of the Stars - Tier 1,50^,Fellow,Auto-bestowed - Tier 1,,50^,Fellow
Instances Osgiliath,The Dome of the Stars,,Q,The Dome of the Stars - Tier 2,50^,Fellow,Auto-bestowed - Tier 2,,50^,Fellow
