Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Instances Pelennor,Blood of the Black Serpent,,M,Bane of Harad,-,-,Complete 3 deeds in Blood of the Black Serpent,Bane of Harad,,
Instances Pelennor,Blood of the Black Serpent,,S,Blood of the Black Serpent - Tier 1,-,-,Complete quest: Blood of the Black Serpent - Tier 1,,,
Instances Pelennor,Blood of the Black Serpent,,S,Blood of the Black Serpent - Tier 2,-,-,Complete quest: Blood of the Black Serpent - Tier 2,,,
Instances Pelennor,Blood of the Black Serpent,,S,Challenge: Fall of the two princes,-,-,Defeat the 2 princes without defeating any of their allies,,,
Instances Pelennor,Blood of the Black Serpent,,Q,Challenge: Fall of the two princes,,,Auto-bestowed - Tier 2,,Cap,Small Fellow
Instances Pelennor,Blood of the Black Serpent,,Q,Blood of the Black Serpent- Tier 1,,,Auto-bestowed - Tier 1,,75^,Small Fellow
Instances Pelennor,Blood of the Black Serpent,,Q,Blood of the Black Serpent- Tier 2,,,Auto-bestowed - Tier 2,,75^,Small Fellow
Instances Pelennor,The Quays of Harlond,,M,Vanquishing the Darkness,-,-,Complete 3 deeds in The Quays of Harlond,Vanquisher of Darkness,,
Instances Pelennor,The Quays of Harlond,,S,The Quays of Harlond - Tier 1,-,-,Complete quest: The Quays of Harlond - Tier 1,,,
Instances Pelennor,The Quays of Harlond,,S,The Quays of Harlond - Tier 2,-,-,Complete quest: The Quays of Harlond - Tier 2,,,
Instances Pelennor,The Quays of Harlond,,S,Challenge: Kalmok's Squadron,-,-,Defeat Kalmok and his squadron in quick succession,,,
Instances Pelennor,The Quays of Harlond,,Q,Challenge: Kalmok's Squadron,,,Auto-bestowed - Tier 2,,Cap,Small Fellow
Instances Pelennor,The Quays of Harlond,,Q,The Quays of Harlond - Tier 1,,,Auto-bestowed - Tier 1,,75^,Small Fellow
Instances Pelennor,The Quays of Harlond,,Q,The Quays of Harlond - Tier 2,,,Auto-bestowed - Tier 2,,75^,Small Fellow
Instances Pelennor,The Silent Street,,M,Radiance Amidst the Gloom,-,-,Complete 3 deeds in The Silent Street and 1 quest,Radiance Amidst the Gloom,,
Instances Pelennor,The Silent Street,,S,The Silent Street - Tier 1,-,-,Complete quest: The Silent Street - Tier 1,,,
Instances Pelennor,The Silent Street,,S,The Silent Street - Tier 2,-,-,Complete quest: The Silent Street - Tier 2,,,
Instances Pelennor,The Silent Street,,S,Challenge: Redeemer of the cursed line,-,-,Confront the Gloom of Nurn,,,
Instances Pelennor,The Silent Street,,S,The Risen of Rath Dinen,-,-,Find and defeat 4 fallen lords in the Silent Street,,,
Instances Pelennor,The Silent Street,,Q,Challenge: Redeemer of the cursed line,,,Auto-bestowed - Tier 2,,Cap,Fellow
Instances Pelennor,The Silent Street,,Q,The Silent Street - Tier 1,,,Auto-bestowed - Tier 1,,75^,Fellow
Instances Pelennor,The Silent Street,,Q,The Silent Street - Tier 2,,,Auto-bestowed - Tier 2,,75^,Fellow
Instances Pelennor,Throne of the Dread Terror,,M,Thwarter of Gothmog,10,-,Complete 3 deeds in Throne of the Dread Terror,,,
Instances Pelennor,Throne of the Dread Terror,,M,Throne of the Dread Terror - Tier 1,10,-,Complete 6 deeds in Tier 1,Defender of the Pelennor Fields,,
Instances Pelennor,Throne of the Dread Terror,,L,"Rakothas, brother of Thrugrath - Tier 1",5,-,Auto-bestowed - Tier 1,,,
Instances Pelennor,Throne of the Dread Terror,,L,Banes of Blackroot - Tier 1,5,-,Auto-bestowed - Tier 1,,,
Instances Pelennor,Throne of the Dread Terror,,L,The Summoned - Tier 1,5,-,Auto-bestowed - Tier 1,,,
Instances Pelennor,Throne of the Dread Terror,,L,The Enslaved of Minas Morgul - Tier 1,5,-,Auto-bestowed - Tier 1,,,
Instances Pelennor,Throne of the Dread Terror,,L,The Deathless Sentinels - Tier 1,5,-,Auto-bestowed - Tier 1,,,
Instances Pelennor,Throne of the Dread Terror,,L,"Gothmog, the Dread Terror - Tier 1",5,-,Auto-bestowed - Tier 1,,,
Instances Pelennor,Throne of the Dread Terror,,M,Throne of the Dread Terror - Tier 2,10,-,Complete 6 deeds in Tier 2,Dethroner of the Dread Terror,,
Instances Pelennor,Throne of the Dread Terror,,L,"Rakothas, brother of Thrugrath - Tier 2",5,-,Auto-bestowed - Tier 2,,,
Instances Pelennor,Throne of the Dread Terror,,L,Banes of Blackroot - Tier 2,5,-,Auto-bestowed - Tier 2,,,
Instances Pelennor,Throne of the Dread Terror,,L,The Summoned - Tier 2,5,-,Auto-bestowed - Tier 2,,,
Instances Pelennor,Throne of the Dread Terror,,L,The Enslaved of Minas Morgul - Tier 2,5,-,Auto-bestowed - Tier 2,,,
Instances Pelennor,Throne of the Dread Terror,,L,The Deathless Sentinels - Tier 2,5,-,Auto-bestowed - Tier 2,,,
Instances Pelennor,Throne of the Dread Terror,,L,"Gothmog, the Dread Terror - Tier 2",5,-,Auto-bestowed - Tier 2,,,
Instances Pelennor,Throne of the Dread Terror,,M,Challenger of the Morgul Host,10,-,Complete 6 challenges in Tier 2 at level cap,Defier of the Deathless,,
Instances Pelennor,Throne of the Dread Terror,,L,Short Fuse,5,-,Defeat Rakothas while only using 1 powder keg,,,
Instances Pelennor,Throne of the Dread Terror,,L,Trampling the Mumakil,5,-,Defeat the Mumakil before others succumb to them,,,
Instances Pelennor,Throne of the Dread Terror,,L,Fear of Flame,5,-,Defeat Vadokhar without allowing him to draw on the power of fear or flame,,,
Instances Pelennor,Throne of the Dread Terror,,L,Unbound Corruption,5,-,Defeat Black Numenorean binders before defeating remaining foes,,,
Instances Pelennor,Throne of the Dread Terror,,L,Calm of Death,5,-,Defeat High Sorcerer of Harad and Woe of Khand together,,,
Instances Pelennor,Throne of the Dread Terror,,L,The Returned King,5,-,Remove illusions quickly to defeat Gothmog,,,
