Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Mines of Moria,Meta,,M,The Mines of Moria Part 1,10,,"Complete Volume 2, Books 1 - 6",Avenger of Khazad-dum,50-60,
Mines of Moria,Meta,,M,The Mines of Moria Part 2,10,,"Complete Volume 2, Books 7-9",Stalwart Against the Shadow,60-65,
Mines of Moria,Meta,,M,Epilogue: Of Dwarves and Elves,5,,Complete all 12 parts of the epilogue,Hastener of Fate,65,
Mines of Moria,Prologue,,Q,Dwarf / Elf – Unlikely Fellowship,,,The Last Homely House – Barbethnir,,50,Solo
Mines of Moria,Prologue,,Q,Dwarf / Elf – Sons and Fathers,,,The Guest Rooms – Gimli,,50,Solo
Mines of Moria,Prologue,,Q,Dwarf / Elf – What Road for the Elves?,,,The Guest Rooms – Legolas,,50,Solo
Mines of Moria,Prologue,,Q,Hobbit – Hobbits Far Afield,,,The Last Homely House – Barbethnir,,50,Solo
Mines of Moria,Prologue,,Q,Hobbit – Last-minute Packing,,,Bilbo's Room – Samwise Gamgee,,50,Solo
Mines of Moria,Prologue,,Q,Hobbit – The Walking-stick,,,Bilbo's Room – Peregrin Took,,50,Solo
Mines of Moria,Prologue,,Q,Hobbit – Hobbiton to Rivendell,,,Bilbo's Room – Frodo Baggins,,50,Solo
Mines of Moria,Prologue,,Q,Man – Bulwark of the West,,,The Last Homely House – Barbethnir,,50,Solo
Mines of Moria,Prologue,,Q,Man – The Strength of Men,,,The Guest Rooms – Boromir,,50,Solo
Mines of Moria,Prologue,,Q,Man – Three Ways,,,The Guest Rooms – Aragorn,,50,Solo
Mines of Moria,Prologue,,Q,The Fellowship Departs,,,Elrond's Library – Elrond,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 1: Strangers in Hollin,,,Echad Dunann – Rathwald,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 2: Along the Sirannon,,,The Walls of Moria – Tulk,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 3: Bosi the Dwarf,,,The Walls of Moria – Tulk,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 4: Outside the Gate,,,The Walls of Moria – Bosi,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 5: Handling the Situation,,,The Walls of Moria – Bosi,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,-> Keeping Sharp,,,The Walls of Moria – Bori,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 6: Cousin Brogur,,,The Walls of Moria – Bosi,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 7: Wolf-voices On the Wind,,,The Walls of Moria – Brogur,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,-> The Glorious Tale of Broin the Mighty,,,The Walls of Moria – Broin,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 8: Before the Doors of Durin,,,The Walls of Moria – Bosi [Ends Expedition],,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 9: A Weapon of the Elder Days,,,Echad Dunann – Rathwald,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 10: Forgotten Lineage,,,Echad Dunann – Hundi,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 11: Worth Beyond Measure,,,Forges of Rivendell – Dithalion or Forges of Thorin's Hall – Wafi,,50,Solo
Mines of Moria,Book 1 – The Walls of Moria,,Q,Chapter 12: Forged Anew,,,Forges of Rivendell – Dithalion or Forges of Thorin's Hall – Wafi,,50,Solo
