Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
MoM Instances,The Forgotten Treasury,,M,Curator of the Forgotten Treasury [Hidden],5,-,Complete 3 deeds in The Forgotten Treasury,Curator of the Forgotten Treasury,,
MoM Instances,The Forgotten Treasury,,L,Treasures of the Silvertine Lodes,5,-,Find 4 treasures in The Forgotten Treasury,Treasure Hunter,,
MoM Instances,The Forgotten Treasury,,S,Defilers of the Forgotten Treasury,5,-,Defeat 6 leaders in The Forgotten Treasury,Caretaker of the Forgotten Treasury,,
MoM Instances,The Forgotten Treasury,,S,Defilers of the Forgotten Treasury (advanced),10,Charity,Defeat 3 additional leaders in The Forgotten Treasury,Keeper of the Forgotten Treasury,,
MoM Instances,The Forgotten Treasury,,S,Intruders in the Vault,5,-,Defeat Enemies in The Forgotten Treasury (30),Custodian of the Forgotten Treasury,,
MoM Instances,The Forgotten Treasury,,S,Intruders in the Vault (advanced),10,Fidelity,Defeat Enemies in The Forgotten Treasury (60),,,
MoM Instances,The Grand Stair,,M,The Grand Stair [Hidden],10,-,Complete 8 deeds in The Grand Stair,Braver of Heights,,
MoM Instances,The Grand Stair,,E,Landings of the Grand Stair,5,-,Find 5 points of interest in The Grand Stair,Climber of Stairs,,
MoM Instances,The Grand Stair,,L,Letters to Igash,10,-,Find 4 letters in The Grand Stair,Interceptor,,
MoM Instances,The Grand Stair,,S,Beasts of the Grand Stair,5,-,Defeat Wargs in The Grand Stair (40),Foe of the Highpeak,,
MoM Instances,The Grand Stair,,S,Beasts of the Grand Stair (advanced),10,Empathy,Defeat Wargs in The Grand Stair (80),,,
MoM Instances,The Grand Stair,,S,Brutes of the Grand Stair,5,-,Defeat Trolls in The Grand Stair (10),the Steady,,
MoM Instances,The Grand Stair,,S,Brutes of the Grand Stair (advanced),10,Compassion,Defeat Trolls in The Grand Stair (20),,,
MoM Instances,The Grand Stair,,S,Followers of Igash,5,-,Defeat Orcs in The Grand Stair (60),the Valiant,,
MoM Instances,The Grand Stair,,S,Followers of Igash (advanced),10,Wisdom,Defeat Orcs in The Grand Stair (120),,,
MoM Instances,The Grand Stair,,S,Tamers of Vile Wargs,5,-,Defeat Goblins in The Grand Stair (30),Foe of the Warg-keepers,,
MoM Instances,The Grand Stair,,S,Tamers of Vile Wargs (advanced),10,Fidelity,Defeat Goblins in The Grand Stair (60),,,
MoM Instances,The Grand Stair,,S,Villains of the Grand Stair (Part 1),5,Honesty,Defeat 4 leaders in The Grand Stair,the Bold,,
MoM Instances,The Grand Stair,,S,Villains of the Grand Stair (Part 2),10,Loyalty,Defeat 4 additional leaders in The Grand Stair,Doom of Igash,,
MoM Instances,The Forges of Khazad-dum,,M,Bane of Industry [Hidden],10,-,Complete 5 deeds in The Forges of Khazad-dum,Bane of Industry,,
MoM Instances,The Forges of Khazad-dum,,L,Implements of the Forge,10,-,Find 4 tools in The Forges of Khazad-dum,Smith of the Burning Deeps,,
MoM Instances,The Forges of Khazad-dum,,S,Blinded by Fire,5,-,Defeat Trolls in The Forges of Khazad-dum (20),the Resilient,,
MoM Instances,The Forges of Khazad-dum,,S,Blinded by Fire (advanced),10,Fortitude,Defeat Trolls in The Forges of Khazad-dum (40),,,
MoM Instances,The Forges of Khazad-dum,,S,Orcs of the Forge,5,-,Defeat Orcs in The Forges of Khazad-dum (40),Douser of Flames,,
MoM Instances,The Forges of Khazad-dum,,S,Orcs of the Forge (advanced),10,Zeal,Defeat Orcs in The Forges of Khazad-dum (80),,,
MoM Instances,The Forges of Khazad-dum,,S,Overseers of the Forge,5,Determination,Defeat 4 leaders in The Forges of Khazad-dum,Forge-breaker,,
MoM Instances,The Forges of Khazad-dum,,S,Slaves to the Forge,5,-,Defeat Goblins in The Forges of Khazad-dum (40),Will-breaker,,
MoM Instances,The Forges of Khazad-dum,,S,Slaves to the Forge (advanced),10,Determination,Defeat Goblins in The Forges of Khazad-dum (80),,,
MoM Instances,Fil Gashan,,M,Bane of Fil Gashan [Hidden],10,-,Complete 4 deeds in the Fil Gashan,Bane of Fil Gashan,,
MoM Instances,Fil Gashan,,L,Arms of the Enemy,10,-,Find 4 armaments in Fil Gashan,Infiltrator,,
MoM Instances,Fil Gashan,,S,Eyes of the Enemy,5,-,Defeat Orc-skirmishers in Fil Gashan (80),Skirmisher,,
MoM Instances,Fil Gashan,,S,Eyes of the Enemy (advanced),10,Empathy,Defeat Orc-skirmishers in Fil Gashan (160),,,
MoM Instances,Fil Gashan,,S,Heart of the Enemy,5,Idealism,Defeat 3 leaders in Fil Gashan,Morale-smasher,,
MoM Instances,Fil Gashan,,S,Strength of the Enemy,5,-,Defeat Orc-fighters in Fil Gashan (80),Fighter,,
MoM Instances,Fil Gashan,,S,Strength of the Enemy (advanced),10,Justice,Defeat Orc-fighters in Fil Gashan (160),,,
MoM Instances,The Sixteenth Hall,,M,Perservering Against the Blight [Hidden],10,-,Complete 5 deeds in the Sixteenth Hall,Exterminator,,
MoM Instances,The Sixteenth Hall,,L,Investigating the Blight,10,-,Find 4 spores in The Sixteenth Hall,Investigator,,
MoM Instances,The Sixteenth Hall,,S,Carriers of the Blight,10,-,Defeat Insects in The Sixteenth Hall (60),Bug-stomper,,
MoM Instances,The Sixteenth Hall,,S,Carriers of the Blight (advanced),10,Patience,Defeat Insects in The Sixteenth Hall (120),,,
MoM Instances,The Sixteenth Hall,,S,Corruption in Command,10,Zeal,Defeat 3 leaders in The Sixteenth Hall,Blight-scourge,,
MoM Instances,The Sixteenth Hall,,S,Fallen to Blight,5,-,Defeat Globsnaga in The Sixteenth Hall (60),Blight-cleanser,,
MoM Instances,The Sixteenth Hall,,S,Fallen to Blight (advanced),10,Tolerance,Defeat Globsnaga in The Sixteenth Hall (120),,,
MoM Instances,The Sixteenth Hall,,S,Orcs of the Sixeenth Hall,5,-,Defeat Orcs in The Sixteenth Hall (60),the Hearty,,
MoM Instances,The Sixteenth Hall,,S,Orcs of the Sixeenth Hall (advanced),10,Wisdom,Defeat Orcs in The Sixteenth Hall (120),,,
MoM Instances,The Dark Delving,,M,Triumph within the Forsaken Deeps [Hidden],10,-,Complete 4 deeds in the The Dark Delving,A Light in the Dark,,
MoM Instances,The Dark Delving,,L,Runes of the Dark Delving,10,-,Find 4 rune-stones in The Dark Delving,Diviner,,
MoM Instances,The Dark Delving,,S,Glow-worm Slayer,5,-,Defeat Glow-worms in The Dark Delving (60),the Brilliant,,
MoM Instances,The Dark Delving,,S,Glow-worm Slayer (advanced),10,Wisdom,Defeat Glow-worms in The Dark Delving (120),,,
MoM Instances,The Dark Delving,,S,Leaders of the Nameless,5,Tolerance,Defeat 3 leaders in The Dark Delving,Doom-breaker,,
MoM Instances,The Dark Delving,,S,Nameless-slayer,5,-,Defeat Nameless in The Dark Delving (50),Slayer of the Nameless,,
MoM Instances,The Dark Delving,,S,Nameless-slayer (advanced),10,Patience,Defeat Nameless in The Dark Delving (100),,,
MoM Instances,Skumfil,,M,Purifier of Skumfil [Hidden],10,-,Complete 7 deeds in Skumfil,Purifier of Skumfil,,
MoM Instances,Skumfil,,L,The Fallen Heroes,10,-,Find 4 dwarvish relics in Skumfil,Seeker of the Fallen,,
MoM Instances,Skumfil,,S,Leaders of the Hive,10,Idealism,Defeat 6 insect leaders in Skumfil,Brumbereth's Bane,,
MoM Instances,Skumfil,,S,The Blighted Ones,5,-,Defeat Spiders in Skumfil (60),Web-shredder,,
MoM Instances,Skumfil,,S,The Blighted Ones (advanced),10,Mercy,Defeat Spiders in Skumfil (120),,,
MoM Instances,Skumfil,,S,The Corpse-beasts of Skumfil,5,-,Defeat Kergrim in Skumfil (30),Nemesis of the Corpse-beasts,,
MoM Instances,Skumfil,,S,The Corpse-beasts of Skumfil (advanced),10,Justice,Defeat Kergrim in Skumfil (60),,,
MoM Instances,Skumfil,,S,The Corpse-eaters,5,Honesty,Defeat 3 Kergrim and 2 Cave-claw leaders in Skumfil,Grimreaver's Bane,,
MoM Instances,Skumfil,,S,The Horrors with Many Legs,5,-,Defeat Gredbyg in Skumfil (100),Shell-smasher,,
MoM Instances,Skumfil,,S,The Horrors with Many Legs (advanced),10,Innocence,Defeat Gredbyg in Skumfil (200),,,
MoM Instances,Skumfil,,S,The Hounds of Skumfil,5,-,Defeat Cave-claws in Skumfil (50),Deep-cleaver,,
MoM Instances,Skumfil,,S,The Hounds of Skumfil (advanced),10,Loyalty,Defeat Cave-claws in Skumfil (100),,,
MoM Instances,The Vile Maw,,M,The Watcher of Moria [Hidden],10,-,Complete 3 deeds in The Vile Maw,Watchman/Watchwoman,,
MoM Instances,The Vile Maw,,L,Lost to the Deeps,10,-,Find 4 missing dwarves in The Vile Maw,Peace-bringer,,
MoM Instances,The Vile Maw,,S,The Arms of the Watcher,5,-,Cleave arms of the Watcher in The Vile Maw (30),Whip-lash,,
MoM Instances,The Vile Maw,,S,The Arms of the Watcher (advanced),10,Discipline,Cleave arms of the Watcher in The Vile Maw (60),,,
MoM Instances,The Vile Maw,,S,The Vile Maw,5,Charity,Defeat the Watcher at 3 locations,Slayer of the Watcher,,
MoM Instances,Meta Deeds and Summary,,M,Marshal of the Burning Depths,10,-,Complete meta deed in Forges of Khazad-dum and Fil Gashan,Marshal of the Burning Depths,,
MoM Instances,Meta Deeds and Summary,,M,Mastery Over Fear,10,-,Complete meta deed in Dark Delvings and Skumfil,Master/Mistress Over Fear,,
MoM Instances,Meta Deeds and Summary,,M,Saviour of Khazad-dum,10,-,Complete 5 meta deeds in the Moria instance cluster,Saviour of Moria,,
