Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
"Social, Events, and Hobbies",Hobbies,,H,Darter-master,-,-,Catch 9 darter,Darter-master,,
"Social, Events, and Hobbies",Hobbies,,H,Sturgeon-master,-,-,Catch 9 sturgeon,Sturgeon-master,,
"Social, Events, and Hobbies",Hobbies,,H,The Salmon King,-,-,Catch a 50lb salmon,The Complete Angler,,
"Social, Events, and Hobbies",Hobbies,,H,Trout-master,-,-,Catch 9 trout,Trout-master,,
"Social, Events, and Hobbies",Social – Consumable,,So,Breakfast Expert [Hidden],-,,Use food items 9x each,Breakfast Connoisseur,,
"Social, Events, and Hobbies",Social – Consumable,,So,"Lembas, Waybread of the Galadhrim [Hidden]",-,,Use Lembas 100x,Cake-eater,,
"Social, Events, and Hobbies",Social – Consumable,,So,Carnivore [Hidden],-,,Use food items 3x each,Carnivore,,
"Social, Events, and Hobbies",Social – Consumable,,So,Pie Maven [Hidden],-,,Use food items 7x each,Pie Maven,,
"Social, Events, and Hobbies",Social – Consumable,,So,In a Pear Tree [Hidden],-,,Use food items 5x each,In a Pear Tree,,
"Social, Events, and Hobbies",Social – Consumable,,So,Vegetable Master [Hidden],-,,Use food items 6x each,Vegetarian,,
"Social, Events, and Hobbies",Social – Consumable,,So,The Unwise,-,,Use Barrow-brie – drops in Haudh Iarchith,the Unwise,,
"Social, Events, and Hobbies",Social – Consumable,,So,Defender of Caras Galadhon,-,,Use Inscription of Benefits – Barter item,Defender of Caras Galadhon,,
"Social, Events, and Hobbies",Social – Emotes,,So,Alluring [Hidden],-,,Give or receive flirt emotes (100) – 5/day,the Alluring,,
"Social, Events, and Hobbies",Social – Emotes,,So,Befuddling [Hidden],-,,Give or receive confused emotes (100) – 5/day,the Befuddling,,
"Social, Events, and Hobbies",Social – Emotes,,So,Beloved [Hidden],-,,Give or receive kiss emotes (100) – 5/day,the Beloved,,
"Social, Events, and Hobbies",Social – Emotes,,So,Dull [Hidden],-,,Give or receive bored emotes (100) – 5/day,the Dull,,
"Social, Events, and Hobbies",Social – Emotes,,So,Fire-breather [Hidden],-,,"Give or receive cheer emotes (100) – 5/day, /firebreath",,,
"Social, Events, and Hobbies",Social – Emotes,,So,Harassed [Hidden],-,,Give or receive beg emotes (100) – 5/day,the Harassed,,
"Social, Events, and Hobbies",Social – Emotes,,So,Helpful [Hidden],-,,Give or receive thank emotes (100) – 5/day,the Helpful,,
"Social, Events, and Hobbies",Social – Emotes,,So,Hero [Hidden],-,,"Give or receive bow emotes (100) – 5/day, /heropose",,,
"Social, Events, and Hobbies",Social – Emotes,,So,Infuriating [Hidden],-,,Give or receive angry emotes (100) – 5/day,the Infuriating,,
"Social, Events, and Hobbies",Social – Emotes,,So,Insulted [Hidden],-,,Give or receive rude emotes (200) – 6/day,the Insulted,,
"Social, Events, and Hobbies",Social – Emotes,,So,Intimidating [Hidden],-,,Give or receive cower emotes (40) – 2/day,the Intimidating,,
"Social, Events, and Hobbies",Social – Emotes,,So,Juggler [Hidden],-,,"Give or receive laugh emotes (200) – 5/day, /juggle",,,
"Social, Events, and Hobbies",Social – Emotes,,So,Naughty [Hidden],-,,Give or receive scold emotes (100) – 5/day,the Naughty,,
"Social, Events, and Hobbies",Social – Emotes,,So,Ridiculed [Hidden],-,,Give or receive mock emotes (100) – 5/day,the Ridiculed,,
"Social, Events, and Hobbies",Social – Emotes,,So,Sword Salute [Hidden],-,,"Give or receive salute emotes (100) – 5/day, /swordsalute",,,
"Social, Events, and Hobbies",Social – Emotes,,So,Victorious [Hidden],-,,Give or receive surrender emotes (100) – 5/day,the Victorious,,
"Social, Events, and Hobbies",Social – Misc,,E,The Adventures of Floid and Dewitt,-,-,Find Floid and Dewitt in 7 locations,the Wanderer,,
"Social, Events, and Hobbies",Social – Misc,,E,The Adventures of Floid and Dewitt Part Deux,-,-,Find Floid and Dewitt in 7 additional locations,the Vagabond,,
"Social, Events, and Hobbies",Social – Misc,,S,Boar-slayer [Hidden],10,-,Defeat boars across Eriador,Pork-chopper,,
"Social, Events, and Hobbies",Social – Misc,,R,The Wary [Hidden],-,-,Reach level 5 without suffering defeat,the Wary,,
"Social, Events, and Hobbies",Social – Misc,,R,The Undefeated [Hidden],-,-,Reach level 10 without suffering defeat,the Undefeated,,
"Social, Events, and Hobbies",Social – Misc,,R,The Indomitable [Hidden],-,-,Reach level 14 without suffering defeat,the Indomitable,,
"Social, Events, and Hobbies",Social – Misc,,R,The Unscathed [Hidden],-,-,Reach level 17 without suffering defeat,the Unscathed,,
"Social, Events, and Hobbies",Social – Misc,,R,The Undying [Hidden],-,-,Reach level 20 without suffering defeat,the Undying,,
"Social, Events, and Hobbies",Social – Misc,,F,Seven Stars,-,-,Participate in 7 Anniversary festivals,of the Seven Stars,,
"Social, Events, and Hobbies",Social – Misc,,L,Quests in the Cape of Belfalas,5,-,Complete quests within Cape of Belfalas,Beachcomber,,
"Social, Events, and Hobbies",Social – Misc,,S,Roving-threat Slayer,5,Discipline,Defeat Roving-threats in any area (50),,,
"Social, Events, and Hobbies",Social – Misc,,S,Roving-threat Slayer (advanced),10,Valour,Defeat Roving-threats in any area (150),,,
"Social, Events, and Hobbies",Social – Misc,,S,Roving-threat Slayer (final),15,Zeal,Defeat Roving-threats in any area (300),Roving Defender of Middle-earth,,
"Social, Events, and Hobbies",Social – Misc,,M,Deeds of Eriador,-,-,Complete 11 meta deeds across Eriador,,,
"Social, Events, and Hobbies",Social – Misc,,Q,The Cape of Belfalas,,,Narvindon - Falastir,Seaside,Solo,-
"Social, Events, and Hobbies",Events – Anniversary,,F,Fireworks: Launch Blue Fireworks,-,,Use 50 blue fireworks,,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Fireworks: Launch Green Fireworks,-,,Use 50 green fireworks,,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Fireworks: Launch Orange Fireworks,-,,Use 50 orange fireworks,,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Fireworks: Launch Purple Fireworks,-,,Use 50 purple fireworks,,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Fireworks: Launch Red Fireworks,-,,Use 50 red fireworks,,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Fireworks: Launch Yellow Fireworks,-,,Use 50 yellow fireworks,,,
"Social, Events, and Hobbies",Events – Anniversary,,M,Fireworks: Master Firework-launcher,-,,Complete all 6 Firework: Launch deeds,Master Blaster,,
"Social, Events, and Hobbies",Events – Anniversary,,F,The Mightiest Arm,-,,Hit opponent 200 times during The Mightiest Blow quest,Clubber,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Why Your Head Hurts,-,,Complete The Mightiest Blow (expert) quest 25x,"Battered, Bruised, and Contused",,
"Social, Events, and Hobbies",Events – Anniversary,,L,Moria Cartographile,10,,Collect all 11 maps of Moria,Moria Cartographile,,
"Social, Events, and Hobbies",Events – Anniversary,,F,The Anniversary Scavenger Hunt,-,,Log-in during Anniversary event,,,
"Social, Events, and Hobbies",Events – Anniversary,,F,A Journey Through Middle-earth,-,,Complete at least 1 card from each anniversary year card sets,Versed in Yesteryear,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Ten Years of Travels,-,,Complete 10 quests from travel anniversary year card set,Wanderer of Middle-earth,,
"Social, Events, and Hobbies",Events – Anniversary,,F,Ten Years of Trifles,-,,Complete 10 quests from trifle anniversary year card set,Bustling Adventurer,,
"Social, Events, and Hobbies",Events – Anniversary,,F,The Path of the Fellowship,-,,Complete 10 quests from tales anniversary year card set,Devoted to Company,,
"Social, Events, and Hobbies",Events – Anniversary,,Q,Fireworks Exploration,,,Methel Stage – Gandalf,Firecracker,Solo,-
"Social, Events, and Hobbies",Events – Spring,,F,Festival Fortunes: A Storyteller's Snippets,-,,Collect fortunes 11-20 from Extra Deliciously Tasty Biscuits,the Peculiar,,
"Social, Events, and Hobbies",Events – Spring,,F,Festival Fortunes: An Adventurer's Song,-,,Collect fortunes 41-50 from Extra Deliciously Tasty Biscuits,the Poetical,,
"Social, Events, and Hobbies",Events – Spring,,F,Festival Fortunes: Excellent Advice,-,,Collect fortunes 31-40 from Extra Deliciously Tasty Biscuits,the Enlightened,,
"Social, Events, and Hobbies",Events – Spring,,F,Festival Fortunes: Fateful Foretellings,-,,Collect fortunes 21-30 from Extra Deliciously Tasty Biscuits,Writing on the Wall,,
"Social, Events, and Hobbies",Events – Spring,,F,Festival Fortunes: Oddly Familiar,-,,Collect fortunes 1-10 from Extra Deliciously Tasty Biscuits,Same Old Song,,
"Social, Events, and Hobbies",Events – Spring,,M,Spring is Dandy,-,,Complete 9 quests in Spring Festival,Spring Dandy,,
"Social, Events, and Hobbies",Events – Spring,,M,Spring Sprung!,-,,Complete 5 quests in Spring Festival,Amazeling,,
"Social, Events, and Hobbies",Events – Spring,,F,The Shrewd Gardener,-,,Defeat 160 Shrew during Stomp-a-Shrew,the Shrewd,,
"Social, Events, and Hobbies",Events – Spring,,F,The Taming of the Shrews,-,,Defeat 400 Shrew during Stomp-a-Shrew,Tamer of the Shrews,,
"Social, Events, and Hobbies",Events – Spring,,C,Consume Consumables: Doom-shroom,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Spring,,C,Consume Consumables: D.R.A.G.O.N.,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Spring,,Q,A Fool's Errand,,,"The Hedge Maze – Gil Plover, quest 3 of chain",,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,A Laugh at the Lost,,,The Hedge Maze – Gisi,,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,Misplaced Companions,,,The Hedge Maze – Saelthaliel,,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,The Chicken Dash,,,The Hedge Maze – Buttercup North-took,,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,The Green Challenge,,,"The Hedge Maze – Tob Sandyman, requires Inn League membership",,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,The Bree-fields Spring Festival Run,,,Bree-land Festival Grounds – Sally Threshing,,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,Bullroarer's Challenge – Advanced,,,"Greenfields – Tobias Brockhouse, quest 4 of chain",,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,The Delving Fields Spring Festival Run,,,Shire Race-track – Carl Proudfoot,,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,Stomp-a-Shrew for the Leisurely Gardener,,,Duillond Festival Garden – Maengamiel,,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,-> Stomp-a-Shrew for the Practiced Gardener,,,Duillond Festival Garden – Brangloth,,Solo,-
"Social, Events, and Hobbies",Events – Spring,,Q,-> Stomp-a-Shrew Challenge,,,Duillond Festival Garden – Logethuil,,Solo,-
"Social, Events, and Hobbies",Events – Summer,,F,A Lucky Day at the Races,-,,Win once with each Hobbit and Dwarf at each race,Lucky Duck,,
"Social, Events, and Hobbies",Events – Summer,,F,"Much Drinking, Much Running",-,,Win 3 races with each Dwarf racer,,,
"Social, Events, and Hobbies",Events – Summer,,F,"Much Eating, Much Running",-,,Win 3 races with each Hobbit racer,,,
"Social, Events, and Hobbies",Events – Summer,,M,Too Much of Everything!,-,,"Complete Much Drinking, Much Running and Much Eating, Running",Picky Picker,,
"Social, Events, and Hobbies",Events – Summer,,F,Fortunate Festival Fishes,-,,Catch 10 of each fish at 4 fishing holes,Rare Fish,,
"Social, Events, and Hobbies",Events – Summer,,M,Celebrating Sunshine,-,,Complete 8 quests in Summer Festival,Sunshine,,
"Social, Events, and Hobbies",Events – Summer,,C,Consume Consumables: Foul Blast,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Summer,,C,Consume Consumables: Monster Fare,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Summer,,C,Consume Consumables: Fire-breathing Potion,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Summer,,C,Consume Consumables: Essence of Toad,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Summer,,C,Consume Consumables: Saffron's Lipstick,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Summer,,C,Consume Consumables: Vile Vittles,-,,Gain festival skill – use item 300x,,,
"Social, Events, and Hobbies",Events – Summer,,Q,The Pond,,,Chetwood – Will Hindmarsh,,Solo,-
"Social, Events, and Hobbies",Events – Summer,,Q,Fireworks for the Festival,,,Bree-land Festival Grounds – Robert Greenverge,,Solo,-
"Social, Events, and Hobbies",Events – Summer,,Q,Sitting on the Dock,,,Celondim – Gaellien,,Solo,-
"Social, Events, and Hobbies",Events – Summer,,Q,Missing Things,,,Falathorn – Lalfor,,Solo,-
"Social, Events, and Hobbies",Events – Summer,,Q,A River Runs Through It,,,"Thorin's Hall, Hall of Merchants – Lafi",,Solo,-
"Social, Events, and Hobbies",Events – Summer,,Q,Forgotten Errands,,,"Thorin's Hall, Inn – Ambi",,Solo,-
"Social, Events, and Hobbies",Events – Summer,,Q,The Fishing-hole,,,Bywater Pool – Neddie Grubb,,Solo,-
"Social, Events, and Hobbies",Events – Summer,,Q,Too Much Festival,,,The Party Tree – Foxglove Tunnelly,,Solo,-
"Social, Events, and Hobbies",Events – Farmer’s Faire,,F,At the Farmer's Faire,-,,"Complete A Tour of the Farmer's Faire, then 5 quests 3x",,,
"Social, Events, and Hobbies",Events – Farmer’s Faire,,F,Baggin's Birthday [around Sept 22],-,,Listen to 12 Hobbit stories at Bilbo and Frodo's birthday party,Chronicler,,
"Social, Events, and Hobbies",Events – Farmer’s Faire,,F,Egg Scrambler Victories – Tier 1,-,,Complete Sandson's Egg Scramble 5x,Novice Scrambler,,
"Social, Events, and Hobbies",Events – Farmer’s Faire,,F,Egg Scrambler Victories – Tier 2,-,,Complete Sandson's Egg Scramble 20x,the Eggsellent,,
"Social, Events, and Hobbies",Events – Farmer’s Faire,,F,Egg Scramble: Collect Coloured Eggs,-,,Collect and use 5 coloured eggs,,,
