Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
The Strength of Sauron,Meta,,M,The Strength of Sauron,5,,Complete Vol IV Book 1 - Book 8 (more to come),,,
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Introduction: West Gondor,,,Auto-bestowed – Landscape,,95,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 1: The Muster of the Rhohirrim,,,Dunharrow – Eowyn,,95,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 2: The Ruthless Dead,,,Dunharrow – Radwine,,95,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 3: The Whisper of Death,,,Dunharrow – Eowyn,,95,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 4: Atop Erech,,,Morlad – Celegdal,,96,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Interlude: Those Who Are Dead,,,The Hill of Erech – Rovalang,,96,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 5: A Difficult Road,,,The Hill of Erech – Rovalang,,96,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 6: The Merchant,,,Calembel – Galengam,,96,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 7: Abandoned Refuge,,,Calembel – Galengam,,97,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 8: Dorthaneth,,,Edholland – Lathlorn,,97,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 9: A Message for Lorthiriel,,,Cave of the Avorrim – Dorthaneth,,98,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 10: Keepers of the History,,,Dol Amroth – Lothiriel,,98,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 11: The Swan-knights,,,Dol Amroth – Lothiriel,,99,Solo
The Strength of Sauron,Book 1 – The Road to Gondor,,Q,Chapter 12: The Shadow of Morthond,,,The Hill of Erech – Rovalang,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 1: The Ships of Gondor,,,Great Hall of the Prince – Lothiriel,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 2: Two Messengers,,,The Sulrohir – Captain Cirnaith,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 3: Balakhor the Scourge,,,Great Hall of the Prince – Lothiriel,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 4: The Dawnless Day,,,Ethring – Tologlor,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 5: Beset by Foes,,,Ethring – Tologlor,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 6: Roamingstar,,,Gilrain Woods – Roamingstar,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 7: Thorongil's Visage,,,Linhir – Ingalad,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 8: The Battle of Pelargir – Epic Battles,,,Camp of the Grey Host – Aragorn,,100,Solo
The Strength of Sauron,Book 2 – The Dawnless Day,,Q,Chapter 9: Even in Darkness,,,Camp of the Grey Host – Aragorn – Class trait point,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,Chapter 1: A need for secrecy,,,Camp of the Grey Host - Aragorn,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,"Chapter 2: Grey Host, black sails",,,Camp of the Grey Host - Aragorn,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,-> Black sails: secret knowledge,,,Camp of the Grey Host - Daervunn,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,-> Black sails: loading the ships,,,Camp of the Grey Host - Lothrandir,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,-> Black sails: voices of the past,,,Camp of the Grey Host - Calenglad,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,-> Black sails: fallen arms,,,Camp of the Grey Host - Langlas,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,Chapter 3: Fearless,,,Camp of the Grey Host - Angbor,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,Chapter 4: Another difficult road,,,Crossings of Erui - Angbor,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,Chapter 5: Into Ithilien,,,Amach - Angbor,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,Chapter 6: Sons of Blackroot,,,Bar Hurin - Duilin,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,Chapter 7: Osgiliath overrun,,,Bar Hurin - Duilin,,100,Solo
The Strength of Sauron,Book 3 – Voices of the Past,,Q,Chapter 8: Gothmog appears,,,Osgiliath Culverts - Damrod,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,Chapter 1: The broken causeway,,,Osgiliath Culverts - Damrod,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,Chapter 2: Too far from the city,,,Pellenor Fields - Derufin,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,Chapter 3: The seven gates,,,The Great Gate - Gandalf,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,Chapter 4: Tower of guard,,,The Citadel - Mithrandir,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,-> Guard of the citadel,,,The Citadel - Peregrin Took,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,-> The council of Gondor,,,Dome of the Sun - Othnar,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,-> In need of discipline,,,The Mumak and Keep - Duilin,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,Chapter 5: Beyond the Rammas,,,The Great Gate - Imrahil,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,Chapter 6: The net closes,,,Crithost - Barathant,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,Chapter 7: Ring of foes,,,The Great Gate - Imrahil,,100,Solo
The Strength of Sauron,Book 4 – Siege of the White City,,Q,-> A matter of lineage,,,The Citadel - Mithrandir,,100,Solo
