Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Reputation,Tasks,,R,The Up and Comer,5,,Complete 100 tasks,Up and Comer,,
Reputation,Tasks,,R,The Go-getter,5,,Complete 200 tasks,Go-getter,,
Reputation,Tasks,,R,The Busy Bee,5,,Complete 300 tasks,Busy Bee,,
Reputation,Tasks,,R,The Eager Beaver,5,,Complete 400 tasks,Eager Beaver,,
Reputation,Tasks,,R,The Hot Shot,5,,Complete 500 tasks,Hot Shot,,
Reputation,Meta,,M,World Renowned,50,,Become kindred with the factions of Eriador,World Renowned,,
Reputation,Meta,,M,Ambassador to the Elves,20,,Become kindred with the Elves of Middle Earth,Ambassador to the Elves,,
Reputation,Bree-land,Men of Bree,R,Men of Bree – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known Through Bree,,
Reputation,Bree-land,Men of Bree,R,Men of Bree – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Bree-friend,,
Reputation,Bree-land,Men of Bree,R,Men of Bree – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Bree-defender,,
Reputation,Bree-land,Men of Bree,R,Men of Bree – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Bree-land Rover,,
Reputation,Shire,The Mathom House,R,The Mathom House – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Mathom House,,
Reputation,Shire,The Mathom House,R,The Mathom House – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Mathom-seeker,,
Reputation,Shire,The Mathom House,R,The Mathom House – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Mathom-provider,,
Reputation,Shire,The Mathom House,R,The Mathom House – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Purveyor of Odd Things,,
Reputation,Ered Luin,Thorin’s Hall,R,Thorin's Hall – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to Thorin's Hall,,
Reputation,Ered Luin,Thorin’s Hall,R,Thorin's Hall – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend of the Hall,,
Reputation,Ered Luin,Thorin’s Hall,R,Thorin's Hall – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally to the Hall,,
Reputation,Ered Luin,Thorin’s Hall,R,Thorin's Hall – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Thorin's Hall Monitor,,
Reputation,North Downs,Rangers of Esteldin,R,Rangers of Esteldin – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Rangers,,
Reputation,North Downs,Rangers of Esteldin,R,Rangers of Esteldin – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Esteldin-friend,,
Reputation,North Downs,Rangers of Esteldin,R,Rangers of Esteldin – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of Esteldin,,
Reputation,North Downs,Rangers of Esteldin,R,Rangers of Esteldin – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Honorary Ranger,,
Reputation,Lone Lands,The Eglain,R,The Eglain – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Eglain,,
Reputation,Lone Lands,The Eglain,R,The Eglain – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Eglan-friend,,
Reputation,Lone Lands,The Eglain,R,The Eglain – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of the Eglain,,
Reputation,Lone Lands,The Eglain,R,The Eglain – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Eglan <class provider>,,
Reputation,Trollshaws,Elves of RivenDell,R,Elves of Rivendell – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known in Rivendell,,
Reputation,Trollshaws,Elves of RivenDell,R,Elves of Rivendell – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Rivendell-friend,,
Reputation,Trollshaws,Elves of RivenDell,R,Elves of Rivendell – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of Rivendell,,
Reputation,Trollshaws,Elves of RivenDell,R,Elves of Rivendell – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Elf-friend,,
Reputation,Evendim,Wardens of Annuminas,R,Wardens of Annuminas – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Wardens,,
Reputation,Evendim,Wardens of Annuminas,R,Wardens of Annuminas – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Wardens,,
Reputation,Evendim,Wardens of Annuminas,R,Wardens of Annuminas – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally to the Wardens,,
Reputation,Evendim,Wardens of Annuminas,R,Wardens of Annuminas – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Warden of Annuminas,,
Reputation,Angmar,Council of the North,R,Council of the North – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known in Gath Forthnir,,
Reputation,Angmar,Council of the North,R,Council of the North – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Council,,
Reputation,Angmar,Council of the North,R,Council of the North – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Agent of Gath Forthnir,,
Reputation,Angmar,Council of the North,R,Council of the North – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Ardent of Freedom,,
Reputation,Angmar,Council of the North,R,The Eldgang – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Eldgang,,
Reputation,Angmar,Council of the North,R,The Eldgang – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Eldgang,,
Reputation,Angmar,Council of the North,R,The Eldgang – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally to the Eldgang,,
Reputation,Angmar,Council of the North,R,The Eldgang – Kindred,20,,Gain Kindred standing – earn 30000 reputation,,,
Reputation,Forochel,Lossoth of Forochel,R,Lossoth of Forochel – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Lossoth,,
Reputation,Forochel,Lossoth of Forochel,R,Lossoth of Forochel – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Lossoth-friend,,
Reputation,Forochel,Lossoth of Forochel,R,Lossoth of Forochel – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of the Lossoth,,
Reputation,Forochel,Lossoth of Forochel,R,Lossoth of Forochel – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Lossoth,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,"Algraig, Men of Enedwaith – Acquaitance",5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Algraig,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,"Algraig, Men of Enedwaith – Friend",10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Algraig,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,"Algraig, Men of Enedwaith – Ally",15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally to the Algraig,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,"Algraig, Men of Enedwaith – Kindred",20,,Gain Kindred standing – earn 30000 reputation,Honorary Algraig,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,The Grey Company – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Grey Company,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,The Grey Company – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Grey Company,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,The Grey Company – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of the Grey Company,,
Reputation,Enedwaith,"Algraig, Men of Enedwaith",R,The Grey Company – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Grey Company,,
Reputation,Dunland,Men of Dunland,R,Men of Dunland – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Dunlendings,,
Reputation,Dunland,Men of Dunland,R,Men of Dunland – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Dunlendings,,
Reputation,Dunland,Men of Dunland,R,Men of Dunland – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of the Dunlendings,,
Reputation,Dunland,Men of Dunland,R,Men of Dunland – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Kin of the Dunlendings,,
Reputation,Dunland,Riders of Theodred,R,Riders of Theodred – Acquaitance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to Theodred's Riders,,
Reputation,Dunland,Riders of Theodred,R,Riders of Theodred – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to Theodred's Riders,,
Reputation,Dunland,Riders of Theodred,R,Riders of Theodred – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of Theodred's Riders,,
Reputation,Dunland,Riders of Theodred,R,Riders of Theodred – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Kin of Theodred's Riders,,
Reputation,Mines of Moria,Iron Garrison Guards,R,Iron Garrison Guards – Acquaintance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Iron Garrison Guards,,
Reputation,Mines of Moria,Iron Garrison Guards,R,Iron Garrison Guards – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Iron Garrison Guards,,
Reputation,Mines of Moria,Iron Garrison Guards,R,Iron Garrison Guards – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of the Iron Garrison Guards,,
Reputation,Mines of Moria,Iron Garrison Guards,R,Iron Garrison Guards – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Iron Garrison Guard,,
Reputation,Mines of Moria,Iron Garrison Miners,R,Iron Garrison Miners – Acquaintance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Iron Garrison Miners,,
Reputation,Mines of Moria,Iron Garrison Miners,R,Iron Garrison Miners – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend of the Iron Garrison Miners,,
Reputation,Mines of Moria,Iron Garrison Miners,R,Iron Garrison Miners – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of the Iron Garrison Miners,,
Reputation,Mines of Moria,Iron Garrison Miners,R,Iron Garrison Miners – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Iron Garrison Miner,,
Reputation,Lotlorien,The Galadhrim,R,The Galadhrim – Acquaintance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Galadhrim,,
Reputation,Lotlorien,The Galadhrim,R,The Galadhrim – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Galadhrim,,
Reputation,Lotlorien,The Galadhrim,R,The Galadhrim – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally to the Galadhrim,,
Reputation,Lotlorien,The Galadhrim,R,The Galadhrim – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Honoured of the White Lady,,
Reputation,Mirkwood,The Malledrim,R,The Malledrim – Acquaintance,5,,Gain Acquaintance standing – earn 10000 reputation,Known to the Malledrim,,
Reputation,Mirkwood,The Malledrim,R,The Malledrim – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Friend to the Malledrim,,
Reputation,Mirkwood,The Malledrim,R,The Malledrim – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Ally of the Malledrim,,
Reputation,Mirkwood,The Malledrim,R,The Malledrim – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Liege of the Lord,,
Reputation,Great River,Riders of Stangard,R,Riders of Stangard – Acquaintance,5,,Gain Acquaintance standing – earn 10000 reputation,Warrior of Stangard,,
Reputation,Great River,Riders of Stangard,R,Riders of Stangard – Friend,10,,Gain Friend standing – earn 20000 reputation – Travel discount,Rider of Stangard,,
Reputation,Great River,Riders of Stangard,R,Riders of Stangard – Ally,15,,Gain Ally standing – earn 25000 reputation – Vendor discount,Defender of Stangard,,
Reputation,Great River,Riders of Stangard,R,Riders of Stangard – Kindred,20,,Gain Kindred standing – earn 30000 reputation,Champion of Stangard,,
Reputation,Great River,Riders of Stangard,R,Heroes of the Limlight Gorge – Acquaintance,5,,Gain Acquaintance standing – earn 10000 reputation,Warrior of Limlight Gorge,,
