Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Rhovanion,Lothlorien,Galadhrim,M,Great Deeds of Lothlorien [Hidden],5,-,Complete 5 deeds in Lothlorien,Doer of Great Deeds,,
Rhovanion,Lothlorien,Galadhrim,E,City of the Lord and Lady,5,Valour,Find 9 points of interest in Caras Galadhon,,,
Rhovanion,Lothlorien,Galadhrim,E,Lorien Lookout,-,-,Find 11 flets in Lothlorien,Lorien Lookout,,
Rhovanion,Lothlorien,Galadhrim,E,Wanderer of the Golden Wood,5,Honour,Find 10 points of interest in Lothlorien,,,
Rhovanion,Lothlorien,Galadhrim,R,Ally of Lothlorien,10,-,Complete quests within Lothlorien (10),Guest of Lothlorien,,
Rhovanion,Lothlorien,Galadhrim,R,Defender of Lothlorien,10,-,Complete quests within Lothlorien (25),Guardian of Lothlorien,,
Rhovanion,Lothlorien,Galadhrim,R,Flet-runner challenges,5,-,Complete the Flet-runner Challenge quests,Flet-runner,,
Rhovanion,Lothlorien,Galadhrim,R,Friend of Lothlorien,10,-,Complete The Paths of Caras Galadhon quest,Friend of the Golden Wood,,
Rhovanion,Lothlorien,Galadhrim,R,Warrior of Lothlorien,20,-,Complete quests within Lothlorien (40),Warrior of Lothlorien,,
Rhovanion,Lothlorien,Galadhrim,L,The Defence of Lorien I,5,-,Defend Lothlorien from orcs 1 time,Fleeting Ally of Lorien,,
Rhovanion,Lothlorien,Galadhrim,L,The Defence of Lorien II,5,-,Defend Lothlorien from orcs 3 times,Steadfast Ally of Lorien,,
Rhovanion,Lothlorien,Galadhrim,L,The Defence of Lorien III,5,-,Defend Lothlorien from orcs 5 times,Defender of Lorien,,
Rhovanion,Lothlorien,Galadhrim,L,The Defence of Lorien IV,10,-,Defend Lothlorien from orcs 7 times,Persistent Defender of Lorien,,
Rhovanion,Lothlorien,Galadhrim,L,The Defence of Lorien V,10,-,Defend Lothlorien from orcs 10 times,Trueheart Defender of Lorien,,
Rhovanion,Lothlorien,Galadhrim,S,Beast-slayer,5,-,Defeat Beasts in Lothlorien (100),Wild Hunter,,
Rhovanion,Lothlorien,Galadhrim,S,Beast-slayer (advanced),10,Mercy,Defeat Beasts in Lothlorien (200),,,
Rhovanion,Lothlorien,Galadhrim,S,Orc-slayer,5,-,Defeat Orcs in Lothlorien (100),Champion of Lothlorien,,
Rhovanion,Lothlorien,Galadhrim,S,Orc-slayer (advanced),10,Innocence,Defeat Orcs in Lothlorien (200),,,
Rhovanion,Lothlorien,Galadhrim,Q,At Home Among the Trees,,,Caras Galadhon – Celechest,,60,Solo
Rhovanion,Lothlorien,Galadhrim,Q,-> Flet-runner Challenge: Bregradel,,,Caras Galadhon – Bregradel,,60,Solo
Rhovanion,Lothlorien,Galadhrim,Q,-> Flet-runner Challenge: Lagordal,,,Caras Galadhon – Lagordal,,60,Solo
Rhovanion,Lothlorien,Galadhrim,Q,-> Flet-runner Challenge: Leginiel,,,Caras Galadhon – Lediniel,,60,Solo
Rhovanion,Lothlorien,Galadhrim,Q,-> Flet-runner Challenge: Lintwen,,,Caras Galadhon – Lintwen,,60,Solo
Rhovanion,Lothlorien,Galadhrim,Q,Poaching: Horned Wood-lord,,,Echad Andestal – Asmund – quest 3 of chain,Poacher of the Protected Woods,60,Solo
Rhovanion,Lothlorien,Galadhrim,Q,An End to Poaching,,,Echad Andestal – Limhendeth,Protector of Elven Values,60,Solo
Rhovanion,Moria,Iron Garrison Guards/Miners,M,Deeds of Khazad-dum,-,-,Complete 3 meta deeds and 1 quest deed in Moria,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,M,Quests of Khazad-dum,10,-,Complete 11 quest deeds in Moria,,,
Rhovanion,Moria,Iron Garrison Guards/Miners,M,Explorer of Khazad-dum [Hidden],15,-,Complete 13 explorer deeds in Moria,Explorer of Khazad-dum,,
Rhovanion,Moria,Iron Garrison Guards/Miners,M,Triumph within the Deeps [Hidden],15,-,Complete 11 slayer deeds in Moria,Triumph within the Deeps,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,Bulwarks of the Enemy,10,Zeal,Find 8 points of interest across Moria,Deep Delver,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,In the Footsteps of the Fellowship,5,Honour,Find 7 locations the Nine visited in Moria,Friend of the Nine,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,Reflections,5,-,see Reflections quests,Reflector,,
Rhovanion,Moria,Iron Garrison Guards/Miners,E,The Pits of Moria [Hidden],5,-,Leap to your death at 6 locations in Moria,Blind Leaper,,
Rhovanion,Moria,Iron Garrison Guards/Miners,L,Twist-tongued [Hidden],-,-,see Riddles in the Dark quests,Twist-tongued,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Deep-claw Slayer,5,-,Defeat Deep-claws in Moria (100),Beak-breaker,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Deep-claw Slayer (advanced),10,Tolerance,Defeat Deep-claws in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Dragonet-slayer,5,-,Defeat Dragonets in Moria (100),Drake-smasher,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Dragonet-slayer (advanced),10,Zeal,Defeat Dragonets in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Globsnaga-slayer,5,-,Defeat Globsnaga in Moria (100),Bane of the Infected,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Globsnaga-slayer (advanced),10,Compassion,Defeat Globsnaga in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Goblin-slayer,5,-,Defeat Goblins in Moria (100),Goblin-bane,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Goblin-slayer (advanced),10,Justice,Defeat Goblins in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Grodbog-slayer,5,-,Defeat Gredbyg in Moria (100),Bug Crusher,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Grodbog-slayer (advanced),10,Discipline,Defeat Gredbyg in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Morroval-slayer,5,-,Defeat Merrevail in Moria (100),Wing-breaker,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Morroval-slayer (advanced),10,Innocence,Defeat Merrevail in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Nameless-slayer,5,-,Defeat Nameless in Moria (100),Vanquisher of the Nameless,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Nameless-slayer (advanced),10,Mercy,Defeat Nameless in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Orc-slayer,5,-,Defeat Orcs in Moria (100),Orc-foe,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Orc-slayer (advanced),10,Determination,Defeat Orcs in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Spider-slayer,5,-,Defeat Spiders in Moria (100),the Unyielding,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Spider-slayer (advanced),10,Valour,Defeat Spiders in Moria (200),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Troll-slayer,5,-,Defeat Trolls in Moria (50),Troll-breaker,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Troll-slayer (advanced),10,Confidence,Defeat Trolls in Moria (100),,,
Rhovanion,Moria,Iron Garrison Guards/Miners,S,Warg-slayer,5,-,Defeat Wargs in Moria (100),the Fierce,,
