Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Skirmishes,Instances,,S,Smoke Before the Fire,-,,Reach level 20,Skirmish Recruit,20,
Skirmishes,Instances,,S,Tutorial Offensive: Encounters,-,,Defeat Reginald Cutweed in Tutorial skirmish,,20 – Level Cap,
Skirmishes,Instances,,M,Skirmisher of Middle-earth [Hidden],-,,Complete all 18 Encounter deeds,Skirmisher of Middle-earth,-,
Skirmishes,Instances,,S,Siege of Gondamon,-,,Defeat 5 bosses in the skirmish,Gondamon Siege-breaker,20 – Level Cap,
Skirmishes,Instances,,S,Trouble in Tuckborough,-,,"Defeat 2 bosses, complete 2 tasks in the skirmish",Tuckborough Troublemaker,20 – Level Cap,
Skirmishes,Instances,,S,Stand at Amon Sul,-,,Defeat 9 bosses in the skirmish,Stood at Amon Sul,25 – Level Cap,
Skirmishes,Instances,,S,Thievery and Mischief,-,,Defeat 8 bosses in the skirmish,Stopper of Thievery and Mischief,30 – Level Cap,
Skirmishes,Instances,,S,Attack at Dawn,-,,Defeat 6 bosses in the skirmish,Dawn-breaker,30 – Level Cap,
Skirmishes,Instances,,S,Defense of the Prancing Pony,-,,Defeat 8 bosses in the skirmish,Defender of the Prancing Pony,35 – Level Cap,
Skirmishes,Instances,,S,Ford of Bruinen,-,,"Defeat 4 bosses, complete 1 task in the skirmish",Forded Bruinen,40 – Level Cap,
Skirmishes,Instances,,S,The Icy Crevasse,-,,Defeat 8 bosses in the skirmish,Icy Crevasser,40 – Level Cap,
Skirmishes,Instances,,S,The Battle of the Deep-way,-,,Defeat 8 bosses in the skirmish,Defender of the Deep-way,55 – Level Cap,
Skirmishes,Instances,,S,The Battle of the Way of Smiths,-,,Defeat 7 bosses in the skirmish,Defender of the Heart of Fire,55 – Level Cap,
Skirmishes,Instances,,S,The Battle of the Twenty-first Hall,-,,"Defeat 7 bosses, complete 1 task in the skirmish",Defender of the Twenty-first Hall,55 – Level Cap,
Skirmishes,Instances,,S,Strike Against Dannenglor,-,,Defeat 9 bosses in the skirmish,Struck Against Dannenglor,60 – Level Cap,
Skirmishes,Instances,,S,Protectors of Thangulhad,-,,Defeat 9 bosses in the skirmish,Protector of Thangulhad,60 – Level Cap,
Skirmishes,Instances,,S,Breaching the Necromancer's Gate,-,,Defeat 9 bosses in the skirmish,Breacher of the Necromancer's Gate,65 – Level Cap,
Skirmishes,Instances,,S,Assault on the Ringwraith's Lair,-,,Defeat 9 bosses in the skirmish,Assaulter of the Ringwraith's Lair,65 – Level Cap,
