Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
Shadows of Angmar,Meta,,M,The Shadows of Angmar Part 1,20,,"Complete Volume 1, Books 1 - 8",A Light from the Shadow,5-50,
Shadows of Angmar,Meta,,M,The Shadows of Angmar Part 2,20,,"Complete Volume 1, Books 9 - 15",Bearer of Hope,50-52,
Shadows of Angmar,Prologue,Dwarf,Q,At the Behest of Unarr,,,Thorin's Gate – Skogi,,5,Solo
Shadows of Angmar,Prologue,Dwarf,Q,The Missing Guard,,,Frerin's Court – Guard Captain Unnarr,,6,Solo
Shadows of Angmar,Prologue,Dwarf,Q,Beyond the Cave-in,,,Frerin's Court – Guard Captain Unnarr,,6,Solo
Shadows of Angmar,Prologue,Dwarf,Q,Dwalin's Bad Day,,,Frerin's Court – Guard Captain Unnarr,,6,Solo
Shadows of Angmar,Prologue,Dwarf,Q,The Wisdom of the Thrushes,,,Thorin's Hall – Dwalin,,8,Solo
Shadows of Angmar,Prologue,Dwarf,Q,The Old Dourhand City,,,Noglond – Rothgar,,9,Solo
Shadows of Angmar,Prologue,Dwarf,Q,Gondamon in the Low-lands,,,Noglond – Rothgar,,9,Solo
Shadows of Angmar,Prologue,Elf,Q,At the Behest of Cardavor,,,Celondim – Eilian,,5,Solo
Shadows of Angmar,Prologue,Elf,Q,Unlike Avorthal,,,Celondim – Cordavor,,6,Solo
Shadows of Angmar,Prologue,Elf,Q,Avorthal's Favourite Haunts,,,Nen Hileth – Athal,,6,Solo
Shadows of Angmar,Prologue,Elf,Q,The Wrath of the Elves,,,Celondim – Cordavor,,7,Solo
Shadows of Angmar,Prologue,Elf,Q,The Master of the Refuge,,,Celondim – Cordavor,,9,Solo
Shadows of Angmar,Prologue,Elf,Q,The Emissary,,,Duillond – Dorongur Whitethorn,,11,Solo
Shadows of Angmar,Prologue,Elf,Q,Suspicious Encampment,,,Gondamon – Gailthin,,11,Solo
Shadows of Angmar,Prologue,Elf,Q,Reluctant Allies,,,Gondamon – Gailthin,,11,Solo
Shadows of Angmar,Prologue,Dwarf / Elf,Q,Mutual Dislike,,,Gondamon – Mathi [see comment],,11,Solo
Shadows of Angmar,Prologue,Dwarf / Elf,Q,To Avert a War,,,Thrasi's Lodge – Langlas,,12,Solo
Shadows of Angmar,Prologue,Dwarf / Elf,Q,Rescue By Moonlight,,,Thrasi's Lodge – Langlas,,12,Solo
Shadows of Angmar,Prologue,Dwarf / Elf,Q,Preparations for the Assault,,,Thrasi's Lodge – Langlas,,12,Solo
Shadows of Angmar,Prologue,Dwarf / Elf,Q,Assualt on Rath Teraig,,,Thrasi's Lodge – Langlas,,12,Solo
Shadows of Angmar,Prologue,Dwarf / Elf,Q,The One Called Strider,,,Thrasi's Lodge – Langlas,,15,Solo
Shadows of Angmar,Prologue,Hobbit,Q,Mundo's Complaint,,,Little Delving – Mundo Sackville-Baggins,,7,Solo
Shadows of Angmar,Prologue,Hobbit,Q,Flourdumpling's Stand,,,Michel Delving – Mayor Will Whitfoot,,8,Solo
Shadows of Angmar,Prologue,Hobbit,Q,Make Yourself Useful,,,Bag End – Lobelia Sackville-Baggins,,11,Solo
Shadows of Angmar,Prologue,Hobbit,Q,Pansy Tunnelly's Tale,,,Scary – Wilcome Tunnelly,,11,Solo
Shadows of Angmar,Prologue,Hobbit,Q,The Aid of Halros,,,Brockenborings – Bounder Primstone,,12,Solo
Shadows of Angmar,Prologue,Hobbit,Q,Goblin Foothold,,,Greenfields – Halros,,12,Solo
Shadows of Angmar,Prologue,Hobbit,Q,Troubles To Come,,,Greenfields – Halros,,12,Solo
Shadows of Angmar,Prologue,Hobbit,Q,The Quarry in Scary,,,Scary – Wilcome Tunnelly,,12,Solo
