Category,Subcategory,Faction,Type,Deed,LP,Trait,Details,Title,Level,Party
SoA Instances,Great Barrow,,S,Great Barrow – The Gate to Sambrog,-,-,"Defeat Gaerdring and Gaerthal in Maze Wing, defeat Thadur in Water Wing",,,
SoA Instances,Great Barrow,,I,Great Barrow –  Maze Wing,-,-,Complete 5 quests and challenge in Maze Wing,Maze Explorer,,
SoA Instances,Great Barrow,,I,Great Barrow – Sambrog Wing,-,-,Complete 5 quests and challenge in Sambrog Wing,Sambrog Stopper,,
SoA Instances,Great Barrow,,I,Great Barrow – Water Wing,-,-,Complete 5 quests and challenge in Water Wing,Watery Delver,,
SoA Instances,Great Barrow,,Q,Grim Tomb-wight,,,Auto-bestowed – Maze Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Crawling Arm,,,Auto-bestowed – Maze Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Ancient Barrow-wights,,,Auto-bestowed – Maze Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Ancient Flames – Maze,,,Auto-bestowed – Maze Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Gaerdrel and Gaerthel,,,Auto-bestowed – Maze Wing,,20^,Fellow
SoA Instances,Great Barrow,,Q,Challenge: Gaerdrel and Gaerthel,,,Auto-bestowed – Maze Wing,,Cap,Fellow
SoA Instances,Great Barrow,,Q,Accursed Fell-spirit,,,Auto-bestowed – Sambrog Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Consuming Barrow-crawler,,,Auto-bestowed – Sambrog Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Barrow-wights,,,Auto-bestowed – Sambrog Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Ancient Flames – Sambrog,,,Auto-bestowed – Sambrog Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Sambrog,,,Auto-bestowed – Sambrog Wing,,20^,Fellow
SoA Instances,Great Barrow,,Q,Challenge: Sambrog,,,Auto-bestowed – Sambrog Wing,,Cap,Fellow
SoA Instances,Great Barrow,,Q,Guant Battle-caller,,,Auto-bestowed – Water Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Chilled Barrow-wight,,,Auto-bestowed – Water Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Barrow-wight Bowlord,,,Auto-bestowed – Water Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Disturbed Remains,,,Auto-bestowed – Water Wing – Random,,20^,Fellow
SoA Instances,Great Barrow,,Q,Thadur the Ravager,,,Auto-bestowed – Water Wing,,20^,Fellow
SoA Instances,Great Barrow,,Q,Challenge: Thadur the Ravager,,,Auto-bestowed – Water Wing,,Cap,Fellow
SoA Instances,Inn of the Forsaken,,M,Excavator of the Forsaken Inn,5,-,Complete 4 deeds in Inn of the Forsaken,Excavator of the Forsaken Inn,,
SoA Instances,Inn of the Forsaken,,S,Mighty Umin,5,-,Defeat Umin,,,
SoA Instances,Inn of the Forsaken,,S,The Necklace's Keeper,5,-,Defeat the Spirit of the Necklace – Tier 2,,,
SoA Instances,Inn of the Forsaken,,L,The Perfect Fellowship,5,-,Complete quest – Challenge: The Perfect Fellowship,,,
SoA Instances,Inn of the Forsaken,,L,The Journal of Captain Rabghul,5,-,Locate all 5 pages of Captain's Rabghul's journal,,,
SoA Instances,Inn of the Forsaken,,L,Riddles Beneath the Inn,5,-,Solve all 83 riddles in the instance,Riddle-master,Cap,Small Fellow
SoA Instances,Inn of the Forsaken,,Q,Challenge: The Perfect Fellowship,,,Auto-bestowed – Tier 2,,,
SoA Instances,Fornost,,S,Fornost – The Gate to Earth,-,-,Defeat Megoriath in Water Wing,,,
SoA Instances,Fornost,,S,Fornost – The Gate to Fire,-,-,Defeat Rhavameldir in Earth Wing,,,
SoA Instances,Fornost,,S,Fornost – The Gate to Shadow,-,-,Defeat Brogadan in Fire Wing,,,
